Evidence_ID,FIR_ID,Evidence_Type,Description,Location
326,383,Weapon,Other,
327,384,Weapon,Explosives,
328,385,Weapon,Poison,
329,386,Weapon,Firearm,
330,387,Weapon,Poison,
331,388,Weapon,Poison,
332,389,Weapon,Other,
333,390,Weapon,Explosives,
334,391,Weapon,Firearm,
335,392,Weapon,Knife,
336,393,Weapon,Poison,
337,394,Weapon,Other,
338,395,Weapon,Other,
339,396,Weapon,Explosives,
340,397,Weapon,Explosives,
341,398,Weapon,Firearm,
342,399,Weapon,Explosives,
343,400,Weapon,Knife,
344,401,Weapon,Knife,
345,403,Weapon,Other,
346,404,Weapon,Explosives,
347,406,Weapon,Poison,
348,407,Weapon,Other,
349,408,Weapon,Poison,
350,409,Weapon,Explosives,
351,410,Weapon,Explosives,
352,411,Weapon,Poison,
353,412,Weapon,Knife,
354,413,Weapon,Other,
355,415,Weapon,Knife,
356,416,Weapon,Knife,
357,417,Weapon,Explosives,
358,418,Weapon,Knife,
359,419,Weapon,Knife,
360,422,Weapon,Other,
361,424,Weapon,Knife,
362,426,Weapon,Blunt Object,
363,427,Weapon,Explosives,
364,428,Weapon,Poison,
365,429,Weapon,Other,
366,430,Weapon,Blunt Object,
367,431,Weapon,Other,
368,432,Weapon,Firearm,
369,433,Weapon,Explosives,
370,434,Weapon,Poison,
371,435,Weapon,Poison,
372,436,Weapon,Knife,
373,438,Weapon,Other,
374,440,Weapon,Firearm,
375,441,Weapon,Blunt Object,
376,444,Weapon,Blunt Object,
377,447,Weapon,Other,
378,449,Weapon,Explosives,
379,451,Weapon,Poison,
380,452,Weapon,Firearm,
381,454,Weapon,Knife,
382,455,Weapon,Poison,
383,456,Weapon,Blunt Object,
384,457,Weapon,Knife,
385,458,Weapon,Poison,
386,459,Weapon,Poison,
387,460,Weapon,Blunt Object,
388,461,Weapon,Blunt Object,
389,462,Weapon,Blunt Object,
390,463,Weapon,Blunt Object,
391,464,Weapon,Explosives,
392,466,Weapon,Other,
393,467,Weapon,Knife,
394,468,Weapon,Blunt Object,
395,469,Weapon,Knife,
396,470,Weapon,Other,
397,472,Weapon,Firearm,
398,473,Weapon,Knife,
399,474,Weapon,Blunt Object,
400,475,Weapon,Blunt Object,
401,476,Weapon,Explosives,
402,477,Weapon,Other,
403,478,Weapon,Firearm,
404,479,Weapon,Other,
405,480,Weapon,Other,
406,482,Weapon,Poison,
407,483,Weapon,Explosives,
408,484,Weapon,Knife,
409,486,Weapon,Other,
410,487,Weapon,Firearm,
411,488,Weapon,Poison,
412,489,Weapon,Explosives,
413,491,Weapon,Other,
414,492,Weapon,Blunt Object,
415,493,Weapon,Other,
416,494,Weapon,Firearm,
417,495,Weapon,Firearm,
418,496,Weapon,Explosives,
419,497,Weapon,Firearm,
420,498,Weapon,Poison,
421,499,Weapon,Explosives,
422,500,Weapon,Knife,
423,502,Weapon,Blunt Object,
424,503,Weapon,Blunt Object,
425,504,Weapon,Blunt Object,
426,505,Weapon,Other,
427,506,Weapon,Explosives,
428,507,Weapon,Blunt Object,
429,508,Weapon,Poison,
430,509,Weapon,Other,
431,510,Weapon,Firearm,
432,511,Weapon,Explosives,
433,512,Weapon,Poison,
434,514,Weapon,Other,
435,515,Weapon,Other,
436,516,Weapon,Explosives,
437,517,Weapon,Blunt Object,
438,519,Weapon,Blunt Object,
439,520,Weapon,Blunt Object,
440,521,Weapon,Firearm,
441,523,Weapon,Firearm,
442,524,Weapon,Other,
443,525,Weapon,Knife,
444,526,Weapon,Explosives,
445,527,Weapon,Blunt Object,
446,528,Weapon,Poison,
447,529,Weapon,Other,
448,530,Weapon,Poison,
449,531,Weapon,Explosives,
450,532,Weapon,Other,
451,533,Weapon,Knife,
452,534,Weapon,Other,
453,535,Weapon,Poison,
454,536,Weapon,Knife,
455,537,Weapon,Poison,
456,538,Weapon,Blunt Object,
457,539,Weapon,Other,
458,540,Weapon,Other,
459,541,Weapon,Firearm,
460,542,Weapon,Blunt Object,
461,543,Weapon,Firearm,
462,544,Weapon,Other,
463,545,Weapon,Firearm,
464,546,Weapon,Other,
465,547,Weapon,Blunt Object,
466,548,Weapon,Knife,
467,549,Weapon,Poison,
468,550,Weapon,Firearm,
469,551,Weapon,Knife,
470,552,Weapon,Explosives,
471,553,Weapon,Knife,
472,554,Weapon,Knife,
473,555,Weapon,Explosives,
474,556,Weapon,Knife,
475,558,Weapon,Firearm,
476,559,Weapon,Knife,
477,560,Weapon,Other,
478,561,Weapon,Explosives,
479,562,Weapon,Poison,
480,563,Weapon,Knife,
481,564,Weapon,Knife,
482,565,Weapon,Other,
483,566,Weapon,Other,
484,568,Weapon,Firearm,
485,569,Weapon,Other,
486,570,Weapon,Knife,
487,571,Weapon,Knife,
488,573,Weapon,Explosives,
489,576,Weapon,Firearm,
490,577,Weapon,Other,
491,578,Weapon,Firearm,
492,580,Weapon,Knife,
493,581,Weapon,Firearm,
494,582,Weapon,Poison,
495,583,Weapon,Other,
496,584,Weapon,Poison,
497,585,Weapon,Knife,
498,586,Weapon,Poison,
499,587,Weapon,Firearm,
500,589,Weapon,Knife,
501,590,Weapon,Knife,
502,591,Weapon,Blunt Object,
503,592,Weapon,Poison,
504,593,Weapon,Other,
505,594,Weapon,Blunt Object,
506,595,Weapon,Explosives,
507,596,Weapon,Poison,
508,597,Weapon,Explosives,
509,598,Weapon,Other,
510,599,Weapon,Explosives,
511,600,Weapon,Poison,
512,601,Weapon,Firearm,
513,602,Weapon,Firearm,
514,603,Weapon,Knife,
515,605,Weapon,Knife,
516,606,Weapon,Explosives,
517,607,Weapon,Poison,
518,608,Weapon,Poison,
519,609,Weapon,Explosives,
520,610,Weapon,Knife,
521,611,Weapon,Firearm,
522,612,Weapon,Other,
523,614,Weapon,Other,
524,615,Weapon,Poison,
525,616,Weapon,Explosives,
526,617,Weapon,Other,
527,618,Weapon,Poison,
528,619,Weapon,Other,
529,620,Weapon,Firearm,
530,621,Weapon,Explosives,
531,622,Weapon,Firearm,
532,623,Weapon,Blunt Object,
533,624,Weapon,Blunt Object,
534,625,Weapon,Firearm,
535,628,Weapon,Poison,
536,629,Weapon,Firearm,
537,632,Weapon,Poison,
538,633,Weapon,Knife,
539,635,Weapon,Knife,
540,636,Weapon,Blunt Object,
541,638,Weapon,Poison,
542,639,Weapon,Explosives,
543,640,Weapon,Knife,
544,641,Weapon,Knife,
545,642,Weapon,Knife,
546,643,Weapon,Blunt Object,
547,644,Weapon,Poison,
548,645,Weapon,Other,
549,646,Weapon,Knife,
550,647,Weapon,Other,
551,648,Weapon,Poison,
552,649,Weapon,Other,
553,650,Weapon,Poison,
554,651,Weapon,Knife,
555,652,Weapon,Poison,
556,653,Weapon,Explosives,
557,654,Weapon,Other,
558,655,Weapon,Knife,
559,656,Weapon,Explosives,
560,657,Weapon,Poison,
561,658,Weapon,Other,
562,659,Weapon,Other,
563,660,Weapon,Explosives,
564,661,Weapon,Firearm,
565,662,Weapon,Blunt Object,
566,663,Weapon,Poison,
567,664,Weapon,Explosives,
568,665,Weapon,Other,
569,666,Weapon,Poison,
570,667,Weapon,Knife,
571,668,Weapon,Explosives,
572,669,Weapon,Explosives,
573,671,Weapon,Other,
574,672,Weapon,Poison,
575,674,Weapon,Other,
576,675,Weapon,Firearm,
577,676,Weapon,Blunt Object,
578,677,Weapon,Other,
579,678,Weapon,Poison,
580,679,Weapon,Explosives,
581,680,Weapon,Poison,
582,681,Weapon,Other,
583,682,Weapon,Explosives,
584,683,Weapon,Knife,
585,684,Weapon,Knife,
586,686,Weapon,Explosives,
587,687,Weapon,Poison,
588,688,Weapon,Poison,
589,689,Weapon,Knife,
590,690,Weapon,Firearm,
591,691,Weapon,Blunt Object,
592,692,Weapon,Poison,
593,693,Weapon,Firearm,
594,694,Weapon,Blunt Object,
595,695,Weapon,Knife,
596,696,Weapon,Other,
597,697,Weapon,Poison,
598,698,Weapon,Explosives,
599,699,Weapon,Poison,
600,700,Weapon,Knife,
601,701,Weapon,Firearm,
602,702,Weapon,Explosives,
603,703,Weapon,Knife,
604,704,Weapon,Knife,
605,705,Weapon,Poison,
606,706,Weapon,Knife,
607,707,Weapon,Other,
608,708,Weapon,Explosives,
609,709,Weapon,Other,
610,711,Weapon,Blunt Object,
611,712,Weapon,Other,
612,713,Weapon,Blunt Object,
613,714,Weapon,Other,
614,715,Weapon,Firearm,
615,716,Weapon,Firearm,
616,717,Weapon,Knife,
617,718,Weapon,Firearm,
618,721,Weapon,Blunt Object,
619,722,Weapon,Knife,
620,723,Weapon,Other,
621,724,Weapon,Other,
622,725,Weapon,Blunt Object,
623,726,Weapon,Knife,
624,727,Weapon,Knife,
625,728,Weapon,Other,
626,729,Weapon,Firearm,
627,730,Weapon,Poison,
628,731,Weapon,Explosives,
629,732,Weapon,Blunt Object,
630,733,Weapon,Firearm,
631,734,Weapon,Poison,
632,735,Weapon,Knife,
633,736,Weapon,Poison,
634,737,Weapon,Explosives,
635,739,Weapon,Knife,
636,740,Weapon,Firearm,
637,741,Weapon,Poison,
638,742,Weapon,Poison,
639,743,Weapon,Other,
640,744,Weapon,Blunt Object,
641,745,Weapon,Knife,
642,746,Weapon,Other,
643,747,Weapon,Other,
644,748,Weapon,Blunt Object,
645,749,Weapon,Firearm,
646,750,Weapon,Blunt Object,
647,751,Weapon,Knife,
648,752,Weapon,Explosives,
649,753,Weapon,Other,
650,754,Weapon,Poison,
651,757,Weapon,Other,
652,758,Weapon,Firearm,
653,759,Weapon,Explosives,
654,760,Weapon,Firearm,
655,761,Weapon,Blunt Object,
656,763,Weapon,Other,
657,765,Weapon,Blunt Object,
658,766,Weapon,Other,
659,767,Weapon,Knife,
660,768,Weapon,Poison,
661,769,Weapon,Poison,
662,770,Weapon,Knife,
663,771,Weapon,Other,
664,772,Weapon,Knife,
665,773,Weapon,Firearm,
666,774,Weapon,Blunt Object,
667,775,Weapon,Explosives,
668,777,Weapon,Explosives,
669,778,Weapon,Firearm,
670,779,Weapon,Explosives,
671,780,Weapon,Explosives,
672,781,Weapon,Knife,
673,782,Weapon,Blunt Object,
674,783,Weapon,Knife,
675,786,Weapon,Blunt Object,
676,787,Weapon,Other,
677,788,Weapon,Knife,
678,789,Weapon,Blunt Object,
679,790,Weapon,Poison,
680,791,Weapon,Firearm,
681,792,Weapon,Poison,
682,793,Weapon,Blunt Object,
683,794,Weapon,Other,
684,796,Weapon,Explosives,
685,798,Weapon,Poison,
686,799,Weapon,Knife,
687,800,Weapon,Blunt Object,
688,801,Weapon,Knife,
689,802,Weapon,Blunt Object,
690,804,Weapon,Other,
691,805,Weapon,Explosives,
692,806,Weapon,Other,
693,807,Weapon,Other,
694,808,Weapon,Blunt Object,
695,809,Weapon,Other,
696,810,Weapon,Explosives,
697,811,Weapon,Blunt Object,
698,813,Weapon,Poison,
699,814,Weapon,Explosives,
700,816,Weapon,Explosives,
701,817,Weapon,Other,
702,818,Weapon,Knife,
703,821,Weapon,Blunt Object,
704,822,Weapon,Blunt Object,
705,823,Weapon,Other,
706,824,Weapon,Other,
707,825,Weapon,Other,
708,826,Weapon,Knife,
709,827,Weapon,Blunt Object,
710,828,Weapon,Explosives,
711,829,Weapon,Explosives,
712,831,Weapon,Firearm,
713,832,Weapon,Other,
714,833,Weapon,Knife,
715,834,Weapon,Poison,
716,835,Weapon,Knife,
717,836,Weapon,Knife,
718,837,Weapon,Other,
719,838,Weapon,Knife,
720,839,Weapon,Other,
721,840,Weapon,Firearm,
722,841,Weapon,Explosives,
723,842,Weapon,Poison,
724,843,Weapon,Firearm,
725,844,Weapon,Firearm,
726,845,Weapon,Poison,
727,847,Weapon,Firearm,
728,849,Weapon,Poison,
729,850,Weapon,Knife,
730,851,Weapon,Knife,
731,853,Weapon,Explosives,
732,854,Weapon,Explosives,
733,855,Weapon,Poison,
734,856,Weapon,Other,
735,857,Weapon,Blunt Object,
736,858,Weapon,Firearm,
737,860,Weapon,Knife,
738,861,Weapon,Knife,
739,862,Weapon,Poison,
740,864,Weapon,Blunt Object,
741,865,Weapon,Firearm,
742,867,Weapon,Blunt Object,
743,868,Weapon,Knife,
744,869,Weapon,Knife,
745,870,Weapon,Blunt Object,
746,871,Weapon,Firearm,
747,872,Weapon,Other,
748,874,Weapon,Poison,
749,875,Weapon,Other,
750,876,Weapon,Knife,
751,877,Weapon,Explosives,
752,878,Weapon,Other,
753,879,Weapon,Poison,
754,880,Weapon,Poison,
755,881,Weapon,Poison,
756,882,Weapon,Explosives,
757,883,Weapon,Knife,
758,884,Weapon,Other,
759,885,Weapon,Knife,
760,886,Weapon,Blunt Object,
761,887,Weapon,Firearm,
762,888,Weapon,Poison,
763,889,Weapon,Explosives,
764,890,Weapon,Firearm,
765,891,Weapon,Blunt Object,
766,892,Weapon,Knife,
767,893,Weapon,Poison,
768,894,Weapon,Blunt Object,
769,895,Weapon,Poison,
770,896,Weapon,Explosives,
771,897,Weapon,Blunt Object,
772,898,Weapon,Blunt Object,
773,899,Weapon,Firearm,
774,900,Weapon,Knife,
775,901,Weapon,Firearm,
776,902,Weapon,Firearm,
777,903,Weapon,Knife,
778,904,Weapon,Other,
779,905,Weapon,Blunt Object,
780,906,Weapon,Firearm,
781,907,Weapon,Other,
782,908,Weapon,Explosives,
783,910,Weapon,Explosives,
784,911,Weapon,Knife,
785,912,Weapon,Knife,
786,913,Weapon,Blunt Object,
787,914,Weapon,Firearm,
788,915,Weapon,Blunt Object,
789,916,Weapon,Knife,
790,918,Weapon,Other,
791,919,Weapon,Firearm,
792,920,Weapon,Poison,
793,922,Weapon,Other,
794,923,Weapon,Other,
795,924,Weapon,Firearm,
796,925,Weapon,Explosives,
797,927,Weapon,Knife,
798,929,Weapon,Poison,
799,930,Weapon,Firearm,
800,931,Weapon,Poison,
801,932,Weapon,Firearm,
802,933,Weapon,Knife,
803,934,Weapon,Blunt Object,
804,935,Weapon,Other,
805,936,Weapon,Firearm,
806,937,Weapon,Poison,
807,939,Weapon,Knife,
808,940,Weapon,Knife,
809,941,Weapon,Blunt Object,
810,942,Weapon,Poison,
811,943,Weapon,Poison,
812,944,Weapon,Explosives,
813,945,Weapon,Poison,
814,946,Weapon,Knife,
815,947,Weapon,Poison,
816,948,Weapon,Knife,
817,949,Weapon,Blunt Object,
818,950,Weapon,Poison,
819,951,Weapon,Blunt Object,
820,952,Weapon,Blunt Object,
821,953,Weapon,Poison,
822,954,Weapon,Knife,
823,955,Weapon,Other,
824,956,Weapon,Explosives,
825,957,Weapon,Poison,
826,958,Weapon,Firearm,
827,960,Weapon,Blunt Object,
828,961,Weapon,Firearm,
829,963,Weapon,Blunt Object,
830,964,Weapon,Firearm,
831,965,Weapon,Poison,
832,966,Weapon,Explosives,
833,967,Weapon,Explosives,
834,968,Weapon,Other,
835,970,Weapon,Poison,
836,973,Weapon,Blunt Object,
837,974,Weapon,Explosives,
838,975,Weapon,Other,
839,976,Weapon,Poison,
840,977,Weapon,Other,
841,978,Weapon,Explosives,
842,979,Weapon,Poison,
843,980,Weapon,Knife,
844,981,Weapon,Explosives,
845,982,Weapon,Knife,
846,983,Weapon,Poison,
847,984,Weapon,Other,
848,985,Weapon,Other,
849,986,Weapon,Firearm,
850,987,Weapon,Poison,
851,989,Weapon,Blunt Object,
852,990,Weapon,Blunt Object,
853,991,Weapon,Poison,
854,992,Weapon,Other,
855,993,Weapon,Poison,
856,994,Weapon,Knife,
857,995,Weapon,Blunt Object,
858,996,Weapon,Other,
859,997,Weapon,Firearm,
860,999,Weapon,Poison,
861,1000,Weapon,Explosives,
862,1001,Weapon,Knife,
863,1003,Weapon,Blunt Object,
864,1004,Weapon,Poison,
865,1006,Weapon,Explosives,
866,1007,Weapon,Poison,
867,1008,Weapon,Poison,
868,1009,Weapon,Explosives,
869,1011,Weapon,Firearm,
870,1012,Weapon,Poison,
871,1014,Weapon,Firearm,
872,1015,Weapon,Firearm,
873,1016,Weapon,Blunt Object,
874,1017,Weapon,Firearm,
875,1018,Weapon,Other,
876,1019,Weapon,Other,
877,1020,Weapon,Blunt Object,
878,1021,Weapon,Blunt Object,
879,1022,Weapon,Explosives,
880,1023,Weapon,Firearm,
881,1024,Weapon,Poison,
882,1025,Weapon,Blunt Object,
883,1027,Weapon,Blunt Object,
884,1028,Weapon,Explosives,
885,1029,Weapon,Knife,
886,1030,Weapon,Knife,
887,1031,Weapon,Other,
888,1032,Weapon,Firearm,
889,1035,Weapon,Explosives,
890,1036,Weapon,Knife,
891,1037,Weapon,Blunt Object,
892,1038,Weapon,Other,
893,1039,Weapon,Other,
894,1043,Weapon,Knife,
895,1045,Weapon,Knife,
896,1046,Weapon,Poison,
897,1047,Weapon,Other,
898,1049,Weapon,Firearm,
899,1051,Weapon,Explosives,
900,1052,Weapon,Poison,
901,1054,Weapon,Blunt Object,
902,1055,Weapon,Knife,
903,1056,Weapon,Blunt Object,
904,1057,Weapon,Knife,
905,1058,Weapon,Explosives,
906,1059,Weapon,Other,
907,1060,Weapon,Explosives,
908,1062,Weapon,Explosives,
909,1063,Weapon,Explosives,
910,1064,Weapon,Blunt Object,
911,1065,Weapon,Explosives,
912,1066,Weapon,Blunt Object,
913,1067,Weapon,Knife,
914,1068,Weapon,Explosives,
915,1069,Weapon,Firearm,
916,1070,Weapon,Explosives,
917,1071,Weapon,Other,
918,1072,Weapon,Poison,
919,1073,Weapon,Explosives,
920,1074,Weapon,Firearm,
921,1075,Weapon,Other,
922,1077,Weapon,Explosives,
923,1078,Weapon,Explosives,
924,1079,Weapon,Other,
925,1080,Weapon,Knife,
926,1082,Weapon,Explosives,
927,1083,Weapon,Firearm,
928,1084,Weapon,Blunt Object,
929,1085,Weapon,Explosives,
930,1086,Weapon,Knife,
931,1087,Weapon,Firearm,
932,1088,Weapon,Firearm,
933,1089,Weapon,Firearm,
934,1090,Weapon,Knife,
935,1092,Weapon,Poison,
936,1093,Weapon,Explosives,
937,1094,Weapon,Knife,
938,1096,Weapon,Blunt Object,
939,1097,Weapon,Explosives,
940,1098,Weapon,Knife,
941,1100,Weapon,Blunt Object,
942,1101,Weapon,Knife,
943,1102,Weapon,Knife,
944,1103,Weapon,Firearm,
945,1104,Weapon,Explosives,
946,1106,Weapon,Blunt Object,
947,1107,Weapon,Blunt Object,
