Complaint_ID,Date,Description,Victim_ID,Crime_ID
61,01-03-2020 12:00,SHOPLIFTING,61,196
62,01-03-2020 13:00,DRUG OFFENSE,62,359
63,01-03-2020 14:00,FRAUD,63,495
64,01-03-2020 15:00,ILLEGAL POSSESSION,64,259
65,01-03-2020 16:00,DRUG OFFENSE,65,289
66,01-03-2020 17:00,EXTORTION,66,409
67,01-03-2020 18:00,CYBERCRIME,67,306
68,01-03-2020 19:00,BURGLARY,68,420
69,01-03-2020 20:00,PUBLIC INTOXICATION,69,469
70,01-03-2020 21:00,FIREARM OFFENSE,70,292
71,01-03-2020 22:00,FIREARM OFFENSE,71,512
72,01-03-2020 23:00,ARSON,72,244
73,01-04-2020 00:00,BURGLARY,73,269
74,01-04-2020 01:00,ARSON,74,524
75,01-04-2020 02:00,CYBERCRIME,75,404
76,01-04-2020 03:00,VANDALISM,76,191
77,01-04-2020 04:00,KIDNAPPING,77,369
78,01-04-2020 05:00,IDENTITY THEFT,78,517
79,01-04-2020 06:00,ROBBERY,79,229
80,01-04-2020 07:00,VEHICLE - STOLEN,80,154
81,01-04-2020 08:00,ASSAULT,81,197
82,01-04-2020 09:00,FRAUD,82,421
83,01-04-2020 10:00,ROBBERY,83,305
84,01-04-2020 11:00,TRAFFIC VIOLATION,84,150
85,01-04-2020 12:00,PUBLIC INTOXICATION,85,542
86,01-04-2020 13:00,VANDALISM,86,438
87,01-04-2020 14:00,PUBLIC INTOXICATION,87,498
88,01-04-2020 15:00,ROBBERY,88,345
89,01-04-2020 16:00,HOMICIDE,89,108
90,01-04-2020 17:00,VEHICLE - STOLEN,90,219
91,01-04-2020 18:00,BURGLARY,91,219
92,01-04-2020 19:00,CYBERCRIME,92,510
93,01-04-2020 20:00,FRAUD,93,597
94,01-04-2020 21:00,SEXUAL ASSAULT,94,272
95,01-04-2020 22:00,PUBLIC INTOXICATION,95,413
96,01-04-2020 23:00,DRUG OFFENSE,96,355
97,01-05-2020 00:00,IDENTITY THEFT,97,523
98,01-05-2020 01:00,SEXUAL ASSAULT,98,486
99,01-05-2020 02:00,IDENTITY THEFT,99,292
100,01-05-2020 03:00,DRUG OFFENSE,100,455
101,01-05-2020 04:00,PUBLIC INTOXICATION,101,515
102,01-05-2020 05:00,EXTORTION,102,566
103,01-05-2020 06:00,ASSAULT,103,419
104,01-05-2020 07:00,VEHICLE - STOLEN,104,250
105,01-05-2020 08:00,FRAUD,105,597
106,01-05-2020 09:00,VEHICLE - STOLEN,106,583
107,01-05-2020 10:00,DOMESTIC VIOLENCE,107,342
108,01-05-2020 11:00,ARSON,108,417
109,01-05-2020 12:00,PUBLIC INTOXICATION,109,169
110,01-05-2020 13:00,ARSON,110,464
111,01-05-2020 14:00,ILLEGAL POSSESSION,111,500
112,01-05-2020 15:00,COUNTERFEITING,112,183
113,01-05-2020 16:00,HOMICIDE,113,270
114,01-05-2020 17:00,EXTORTION,114,259
115,01-05-2020 18:00,FIREARM OFFENSE,115,184
116,01-05-2020 19:00,BURGLARY,116,353
117,01-05-2020 20:00,VANDALISM,117,235
118,01-05-2020 21:00,DRUG OFFENSE,118,287
119,01-05-2020 22:00,ILLEGAL POSSESSION,119,257
120,01-05-2020 23:00,TRAFFIC VIOLATION,120,537
121,01-06-2020 00:00,VEHICLE - STOLEN,121,277
122,01-06-2020 01:00,KIDNAPPING,122,321
123,01-06-2020 02:00,VANDALISM,123,432
124,01-06-2020 03:00,SEXUAL ASSAULT,124,129
125,01-06-2020 04:00,FRAUD,125,347
126,01-06-2020 05:00,ASSAULT,126,127
127,01-06-2020 06:00,FIREARM OFFENSE,127,117
128,01-06-2020 07:00,IDENTITY THEFT,128,339
129,01-06-2020 08:00,SHOPLIFTING,129,374
130,01-06-2020 09:00,ROBBERY,130,111
131,01-06-2020 10:00,ARSON,131,331
132,01-06-2020 11:00,IDENTITY THEFT,132,295
133,01-06-2020 12:00,HOMICIDE,133,309
134,01-06-2020 13:00,ILLEGAL POSSESSION,134,465
135,01-06-2020 14:00,VANDALISM,135,406
136,01-06-2020 15:00,FRAUD,136,278
137,01-06-2020 16:00,PUBLIC INTOXICATION,137,569
138,01-06-2020 17:00,ASSAULT,138,445
139,01-06-2020 18:00,KIDNAPPING,139,465
140,01-06-2020 19:00,CYBERCRIME,140,404
141,01-06-2020 20:00,DOMESTIC VIOLENCE,141,270
142,01-06-2020 21:00,FIREARM OFFENSE,142,113
143,01-06-2020 22:00,ILLEGAL POSSESSION,143,278
144,01-06-2020 23:00,ASSAULT,144,487
145,01-07-2020 00:00,IDENTITY THEFT,145,172
146,01-07-2020 01:00,PUBLIC INTOXICATION,146,165
147,01-07-2020 02:00,CYBERCRIME,147,514
148,01-07-2020 03:00,COUNTERFEITING,148,262
149,01-07-2020 04:00,IDENTITY THEFT,149,558
150,01-07-2020 05:00,SHOPLIFTING,150,157
151,01-07-2020 06:00,DRUG OFFENSE,151,241
152,01-07-2020 07:00,ILLEGAL POSSESSION,152,311
153,01-07-2020 08:00,IDENTITY THEFT,153,248
154,01-07-2020 09:00,KIDNAPPING,154,523
155,01-07-2020 10:00,DOMESTIC VIOLENCE,155,238
156,01-07-2020 11:00,DOMESTIC VIOLENCE,156,109
157,01-07-2020 12:00,COUNTERFEITING,157,448
158,01-07-2020 13:00,HOMICIDE,158,588
159,01-07-2020 14:00,VEHICLE - STOLEN,159,236
160,01-07-2020 15:00,ASSAULT,160,509
161,01-07-2020 16:00,COUNTERFEITING,161,321
162,01-07-2020 17:00,CYBERCRIME,162,420
163,01-07-2020 18:00,SHOPLIFTING,163,589
164,01-07-2020 19:00,ARSON,164,492
165,01-07-2020 20:00,SEXUAL ASSAULT,165,312
166,01-07-2020 21:00,VANDALISM,166,234
167,01-07-2020 22:00,VANDALISM,167,470
168,01-07-2020 23:00,FRAUD,168,518
169,01-08-2020 00:00,DRUG OFFENSE,169,295
170,01-08-2020 01:00,TRAFFIC VIOLATION,170,342
171,01-08-2020 02:00,COUNTERFEITING,171,352
172,01-08-2020 03:00,TRAFFIC VIOLATION,172,305
173,01-08-2020 04:00,SEXUAL ASSAULT,173,245
174,01-08-2020 05:00,DRUG OFFENSE,174,438
175,01-08-2020 06:00,ROBBERY,175,144
176,01-08-2020 07:00,BURGLARY,176,292
177,01-08-2020 08:00,FIREARM OFFENSE,177,134
178,01-08-2020 09:00,ILLEGAL POSSESSION,178,331
179,01-08-2020 10:00,FRAUD,179,191
180,01-08-2020 11:00,DOMESTIC VIOLENCE,180,584
181,01-08-2020 12:00,TRAFFIC VIOLATION,181,341
182,01-08-2020 13:00,CYBERCRIME,182,541
183,01-08-2020 14:00,SEXUAL ASSAULT,183,133
184,01-08-2020 15:00,SEXUAL ASSAULT,184,422
185,01-08-2020 16:00,FRAUD,185,151
186,01-08-2020 17:00,FRAUD,186,287
187,01-08-2020 18:00,VANDALISM,187,541
188,01-08-2020 19:00,IDENTITY THEFT,188,236
189,01-08-2020 20:00,EXTORTION,189,415
190,01-08-2020 21:00,CYBERCRIME,190,151
191,01-08-2020 22:00,KIDNAPPING,191,268
192,01-08-2020 23:00,IDENTITY THEFT,192,381
193,01-09-2020 00:00,PUBLIC INTOXICATION,193,249
194,01-09-2020 01:00,DOMESTIC VIOLENCE,194,389
195,01-09-2020 02:00,ILLEGAL POSSESSION,195,235
196,01-09-2020 03:00,DOMESTIC VIOLENCE,196,562
197,01-09-2020 04:00,PUBLIC INTOXICATION,197,287
198,01-09-2020 05:00,EXTORTION,198,316
199,01-09-2020 06:00,ARSON,199,367
200,01-09-2020 07:00,HOMICIDE,200,471
201,01-09-2020 08:00,COUNTERFEITING,201,365
202,01-09-2020 09:00,FRAUD,202,484
203,01-09-2020 10:00,DRUG OFFENSE,203,257
204,01-09-2020 11:00,KIDNAPPING,204,427
205,01-09-2020 12:00,SHOPLIFTING,205,340
206,01-09-2020 13:00,VEHICLE - STOLEN,206,246
207,01-09-2020 14:00,COUNTERFEITING,207,376
208,01-09-2020 15:00,ASSAULT,208,542
209,01-09-2020 16:00,EXTORTION,209,257
210,01-09-2020 17:00,PUBLIC INTOXICATION,210,573
211,01-09-2020 18:00,COUNTERFEITING,211,148
212,01-09-2020 19:00,FIREARM OFFENSE,212,439
213,01-09-2020 20:00,IDENTITY THEFT,213,598
214,01-09-2020 21:00,VEHICLE - STOLEN,214,239
215,01-09-2020 22:00,SEXUAL ASSAULT,215,267
216,01-09-2020 23:00,SHOPLIFTING,216,163
217,01-10-2020 00:00,COUNTERFEITING,217,572
218,01-10-2020 01:00,FRAUD,218,561
219,01-10-2020 02:00,TRAFFIC VIOLATION,219,336
220,01-10-2020 03:00,BURGLARY,220,563
221,01-10-2020 04:00,VEHICLE - STOLEN,221,218
222,01-10-2020 05:00,KIDNAPPING,222,276
223,01-10-2020 06:00,FRAUD,223,570
224,01-10-2020 07:00,ROBBERY,224,307
225,01-10-2020 08:00,CYBERCRIME,225,153
226,01-10-2020 09:00,HOMICIDE,226,340
227,01-10-2020 10:00,VANDALISM,227,365
228,01-10-2020 11:00,COUNTERFEITING,228,269
229,01-10-2020 12:00,VEHICLE - STOLEN,229,247
230,01-10-2020 13:00,VANDALISM,230,190
231,01-10-2020 14:00,IDENTITY THEFT,231,429
232,01-10-2020 15:00,ARSON,232,547
233,01-10-2020 16:00,HOMICIDE,233,136
234,01-10-2020 17:00,ASSAULT,234,254
235,01-10-2020 18:00,TRAFFIC VIOLATION,235,514
236,01-10-2020 19:00,ARSON,236,105
237,01-10-2020 20:00,CYBERCRIME,237,561
238,01-10-2020 21:00,CYBERCRIME,238,583
239,01-10-2020 22:00,FIREARM OFFENSE,239,418
240,01-10-2020 23:00,FIREARM OFFENSE,240,466
241,01-11-2020 00:00,COUNTERFEITING,241,402
242,01-11-2020 01:00,VANDALISM,242,188
243,01-11-2020 02:00,FRAUD,243,512
244,01-11-2020 03:00,SEXUAL ASSAULT,244,388
245,01-11-2020 04:00,ROBBERY,245,423
246,01-11-2020 05:00,ILLEGAL POSSESSION,246,399
247,01-11-2020 06:00,EXTORTION,247,432
248,01-11-2020 07:00,IDENTITY THEFT,248,262
249,01-11-2020 08:00,DOMESTIC VIOLENCE,249,293
250,01-11-2020 09:00,EXTORTION,250,164
251,01-11-2020 10:00,FIREARM OFFENSE,251,342
252,01-11-2020 11:00,SHOPLIFTING,252,182
253,01-11-2020 12:00,TRAFFIC VIOLATION,253,362
254,01-11-2020 13:00,ILLEGAL POSSESSION,254,123
255,01-11-2020 14:00,FIREARM OFFENSE,255,233
256,01-11-2020 15:00,PUBLIC INTOXICATION,256,581
257,01-11-2020 16:00,EXTORTION,257,230
258,01-11-2020 17:00,IDENTITY THEFT,258,402
259,01-11-2020 18:00,EXTORTION,259,151
260,01-11-2020 19:00,KIDNAPPING,260,366
261,01-11-2020 20:00,BURGLARY,261,542
262,01-11-2020 21:00,COUNTERFEITING,262,145
263,01-11-2020 22:00,IDENTITY THEFT,263,142
264,01-11-2020 23:00,SEXUAL ASSAULT,264,261
265,01-12-2020 00:00,COUNTERFEITING,265,152
266,01-12-2020 01:00,IDENTITY THEFT,266,430
267,01-12-2020 02:00,ILLEGAL POSSESSION,267,203
268,01-12-2020 03:00,KIDNAPPING,268,508
269,01-12-2020 04:00,ROBBERY,269,590
270,01-12-2020 05:00,SHOPLIFTING,270,491
271,01-12-2020 06:00,DRUG OFFENSE,271,586
272,01-12-2020 07:00,PUBLIC INTOXICATION,272,292
273,01-12-2020 08:00,IDENTITY THEFT,273,584
274,01-12-2020 09:00,VEHICLE - STOLEN,274,515
275,01-12-2020 10:00,TRAFFIC VIOLATION,275,350
276,01-12-2020 11:00,ASSAULT,276,546
277,01-12-2020 12:00,ASSAULT,277,115
278,01-12-2020 13:00,TRAFFIC VIOLATION,278,254
279,01-12-2020 14:00,TRAFFIC VIOLATION,279,410
280,01-12-2020 15:00,KIDNAPPING,280,217
281,01-12-2020 16:00,FIREARM OFFENSE,281,189
282,01-12-2020 17:00,FRAUD,282,180
283,01-12-2020 18:00,BURGLARY,283,215
284,01-12-2020 19:00,ARSON,284,481
285,01-12-2020 20:00,ASSAULT,285,577
286,01-12-2020 21:00,SHOPLIFTING,286,212
287,01-12-2020 22:00,VEHICLE - STOLEN,287,244
288,01-12-2020 23:00,IDENTITY THEFT,288,363
289,01-13-2020 00:00,ILLEGAL POSSESSION,289,550
290,01-13-2020 01:00,EXTORTION,290,484
291,01-13-2020 02:00,SHOPLIFTING,291,515
292,01-13-2020 03:00,BURGLARY,292,307
293,01-13-2020 04:00,BURGLARY,293,289
294,01-13-2020 05:00,ASSAULT,294,562
295,01-13-2020 06:00,DOMESTIC VIOLENCE,295,568
296,01-13-2020 07:00,VANDALISM,296,262
297,01-13-2020 08:00,TRAFFIC VIOLATION,297,546
298,01-13-2020 09:00,IDENTITY THEFT,298,199
299,01-13-2020 10:00,SEXUAL ASSAULT,299,513
300,01-13-2020 11:00,ROBBERY,300,256
301,01-13-2020 12:00,IDENTITY THEFT,301,390
302,01-13-2020 13:00,ARSON,302,206
303,01-13-2020 14:00,DOMESTIC VIOLENCE,303,491
304,01-13-2020 15:00,PUBLIC INTOXICATION,304,139
305,01-13-2020 16:00,TRAFFIC VIOLATION,305,126
306,01-13-2020 17:00,FIREARM OFFENSE,306,431
307,01-13-2020 18:00,TRAFFIC VIOLATION,307,528
308,01-13-2020 19:00,COUNTERFEITING,308,282
309,01-13-2020 20:00,SEXUAL ASSAULT,309,577
310,01-13-2020 21:00,DOMESTIC VIOLENCE,310,494
311,01-13-2020 22:00,DRUG OFFENSE,311,395
312,01-13-2020 23:00,ARSON,312,276
313,01-14-2020 00:00,DRUG OFFENSE,313,560
314,01-14-2020 01:00,ASSAULT,314,217
315,01-14-2020 02:00,BURGLARY,315,389
316,01-14-2020 03:00,BURGLARY,316,361
317,01-14-2020 04:00,DOMESTIC VIOLENCE,317,269
318,01-14-2020 05:00,COUNTERFEITING,318,106
319,01-14-2020 06:00,VANDALISM,319,330
320,01-14-2020 07:00,ARSON,320,190
321,01-14-2020 08:00,FRAUD,321,446
322,01-14-2020 09:00,TRAFFIC VIOLATION,322,503
323,01-14-2020 10:00,ARSON,323,471
324,01-14-2020 11:00,FRAUD,324,526
325,01-14-2020 12:00,SHOPLIFTING,325,589
326,01-14-2020 13:00,VANDALISM,326,344
327,01-14-2020 14:00,ROBBERY,327,470
328,01-14-2020 15:00,BURGLARY,328,506
329,01-14-2020 16:00,ARSON,329,187
330,01-14-2020 17:00,DRUG OFFENSE,330,570
331,01-14-2020 18:00,ARSON,331,358
332,01-14-2020 19:00,ILLEGAL POSSESSION,332,586
333,01-14-2020 20:00,COUNTERFEITING,333,534
334,01-14-2020 21:00,VANDALISM,334,225
335,01-14-2020 22:00,SHOPLIFTING,335,331
336,01-14-2020 23:00,SHOPLIFTING,336,359
337,01-15-2020 00:00,COUNTERFEITING,337,574
338,01-15-2020 01:00,SEXUAL ASSAULT,338,477
339,01-15-2020 02:00,DOMESTIC VIOLENCE,339,419
340,01-15-2020 03:00,PUBLIC INTOXICATION,340,167
341,01-15-2020 04:00,ROBBERY,341,101
342,01-15-2020 05:00,KIDNAPPING,342,356
343,01-15-2020 06:00,CYBERCRIME,343,390
344,01-15-2020 07:00,ASSAULT,344,559
345,01-15-2020 08:00,SEXUAL ASSAULT,345,344
346,01-15-2020 09:00,BURGLARY,346,385
347,01-15-2020 10:00,DOMESTIC VIOLENCE,347,236
348,01-15-2020 11:00,ILLEGAL POSSESSION,348,277
349,01-15-2020 12:00,TRAFFIC VIOLATION,349,343
350,01-15-2020 13:00,PUBLIC INTOXICATION,350,387
351,01-15-2020 14:00,VEHICLE - STOLEN,351,168
352,01-15-2020 15:00,CYBERCRIME,352,270
353,01-15-2020 16:00,ILLEGAL POSSESSION,353,205
354,01-15-2020 17:00,EXTORTION,354,272
355,01-15-2020 18:00,HOMICIDE,355,226
356,01-15-2020 19:00,BURGLARY,356,562
357,01-15-2020 20:00,CYBERCRIME,357,328
358,01-15-2020 21:00,DRUG OFFENSE,358,224
359,01-15-2020 22:00,ASSAULT,359,503
360,01-15-2020 23:00,BURGLARY,360,418
361,01-16-2020 00:00,ILLEGAL POSSESSION,361,568
362,01-16-2020 01:00,CYBERCRIME,362,502
363,01-16-2020 02:00,ILLEGAL POSSESSION,363,227
364,01-16-2020 03:00,KIDNAPPING,364,583
365,01-16-2020 04:00,IDENTITY THEFT,365,417
366,01-16-2020 05:00,FRAUD,366,512
367,01-16-2020 06:00,ILLEGAL POSSESSION,367,511
368,01-16-2020 07:00,KIDNAPPING,368,392
369,01-16-2020 08:00,ILLEGAL POSSESSION,369,151
370,01-16-2020 09:00,COUNTERFEITING,370,213
371,01-16-2020 10:00,EXTORTION,371,339
372,01-16-2020 11:00,FIREARM OFFENSE,372,286
373,01-16-2020 12:00,SEXUAL ASSAULT,373,282
374,01-16-2020 13:00,DOMESTIC VIOLENCE,374,552
375,01-16-2020 14:00,DRUG OFFENSE,375,510
376,01-16-2020 15:00,BURGLARY,376,558
377,01-16-2020 16:00,BURGLARY,377,432
378,01-16-2020 17:00,BURGLARY,378,103
379,01-16-2020 18:00,DRUG OFFENSE,379,456
380,01-16-2020 19:00,DRUG OFFENSE,380,148
381,01-16-2020 20:00,IDENTITY THEFT,381,349
382,01-16-2020 21:00,IDENTITY THEFT,382,587
383,01-16-2020 22:00,SEXUAL ASSAULT,383,102
384,01-16-2020 23:00,ILLEGAL POSSESSION,384,136
385,01-17-2020 00:00,COUNTERFEITING,385,203
386,01-17-2020 01:00,IDENTITY THEFT,386,159
387,01-17-2020 02:00,COUNTERFEITING,387,210
388,01-17-2020 03:00,TRAFFIC VIOLATION,388,454
389,01-17-2020 04:00,IDENTITY THEFT,389,118
390,01-17-2020 05:00,COUNTERFEITING,390,243
391,01-17-2020 06:00,COUNTERFEITING,391,343
392,01-17-2020 07:00,ILLEGAL POSSESSION,392,409
393,01-17-2020 08:00,VEHICLE - STOLEN,393,489
394,01-17-2020 09:00,CYBERCRIME,394,524
395,01-17-2020 10:00,SHOPLIFTING,395,324
396,01-17-2020 11:00,DOMESTIC VIOLENCE,396,161
397,01-17-2020 12:00,BURGLARY,397,248
398,01-17-2020 13:00,ROBBERY,398,367
399,01-17-2020 14:00,COUNTERFEITING,399,378
400,01-17-2020 15:00,TRAFFIC VIOLATION,400,120
401,01-17-2020 16:00,DRUG OFFENSE,401,567
402,01-17-2020 17:00,BURGLARY,402,169
403,01-17-2020 18:00,COUNTERFEITING,403,505
404,01-17-2020 19:00,IDENTITY THEFT,404,280
405,01-17-2020 20:00,IDENTITY THEFT,405,456
406,01-17-2020 21:00,BURGLARY,406,522
407,01-17-2020 22:00,EXTORTION,407,305
408,01-17-2020 23:00,DOMESTIC VIOLENCE,408,491
409,01-18-2020 00:00,PUBLIC INTOXICATION,409,219
410,01-18-2020 01:00,SHOPLIFTING,410,505
411,01-18-2020 02:00,FIREARM OFFENSE,411,500
412,01-18-2020 03:00,KIDNAPPING,412,129
413,01-18-2020 04:00,VEHICLE - STOLEN,413,213
414,01-18-2020 05:00,FRAUD,414,267
415,01-18-2020 06:00,VEHICLE - STOLEN,415,371
416,01-18-2020 07:00,COUNTERFEITING,416,481
417,01-18-2020 08:00,SHOPLIFTING,417,532
418,01-18-2020 09:00,ROBBERY,418,342
419,01-18-2020 10:00,DOMESTIC VIOLENCE,419,237
420,01-18-2020 11:00,ROBBERY,420,205
421,01-18-2020 12:00,SEXUAL ASSAULT,421,142
422,01-18-2020 13:00,BURGLARY,422,367
423,01-18-2020 14:00,KIDNAPPING,423,163
424,01-18-2020 15:00,TRAFFIC VIOLATION,424,342
425,01-18-2020 16:00,ILLEGAL POSSESSION,425,539
426,01-18-2020 17:00,CYBERCRIME,426,176
427,01-18-2020 18:00,EXTORTION,427,566
428,01-18-2020 19:00,FIREARM OFFENSE,428,250
429,01-18-2020 20:00,ILLEGAL POSSESSION,429,557
430,01-18-2020 21:00,BURGLARY,430,471
431,01-18-2020 22:00,IDENTITY THEFT,431,232
432,01-18-2020 23:00,ILLEGAL POSSESSION,432,456
433,01-19-2020 00:00,BURGLARY,433,467
434,01-19-2020 01:00,SEXUAL ASSAULT,434,598
435,01-19-2020 02:00,FRAUD,435,368
436,01-19-2020 03:00,BURGLARY,436,523
437,01-19-2020 04:00,ROBBERY,437,319
438,01-19-2020 05:00,PUBLIC INTOXICATION,438,300
439,01-19-2020 06:00,BURGLARY,439,298
440,01-19-2020 07:00,DRUG OFFENSE,440,217
441,01-19-2020 08:00,VANDALISM,441,357
442,01-19-2020 09:00,FIREARM OFFENSE,442,196
443,01-19-2020 10:00,SEXUAL ASSAULT,443,588
444,01-19-2020 11:00,VEHICLE - STOLEN,444,502
445,01-19-2020 12:00,ILLEGAL POSSESSION,445,242
446,01-19-2020 13:00,SEXUAL ASSAULT,446,556
447,01-19-2020 14:00,KIDNAPPING,447,567
448,01-19-2020 15:00,VEHICLE - STOLEN,448,571
449,01-19-2020 16:00,COUNTERFEITING,449,253
450,01-19-2020 17:00,SEXUAL ASSAULT,450,117
451,01-19-2020 18:00,IDENTITY THEFT,451,118
452,01-19-2020 19:00,FIREARM OFFENSE,452,551
453,01-19-2020 20:00,ROBBERY,453,388
454,01-19-2020 21:00,CYBERCRIME,454,192
455,01-19-2020 22:00,CYBERCRIME,455,292
456,01-19-2020 23:00,BURGLARY,456,569
457,01-20-2020 00:00,VANDALISM,457,421
458,01-20-2020 01:00,ARSON,458,283
459,01-20-2020 02:00,CYBERCRIME,459,398
460,01-20-2020 03:00,COUNTERFEITING,460,284
461,01-20-2020 04:00,FRAUD,461,281
462,01-20-2020 05:00,SHOPLIFTING,462,561
463,01-20-2020 06:00,COUNTERFEITING,463,441
464,01-20-2020 07:00,DOMESTIC VIOLENCE,464,161
465,01-20-2020 08:00,FRAUD,465,154
466,01-20-2020 09:00,ARSON,466,518
467,01-20-2020 10:00,FRAUD,467,208
468,01-20-2020 11:00,DRUG OFFENSE,468,354
469,01-20-2020 12:00,ARSON,469,471
470,01-20-2020 13:00,TRAFFIC VIOLATION,470,576
471,01-20-2020 14:00,COUNTERFEITING,471,462
472,01-20-2020 15:00,ILLEGAL POSSESSION,472,594
473,01-20-2020 16:00,PUBLIC INTOXICATION,473,182
474,01-20-2020 17:00,COUNTERFEITING,474,426
475,01-20-2020 18:00,FIREARM OFFENSE,475,570
476,01-20-2020 19:00,SEXUAL ASSAULT,476,412
477,01-20-2020 20:00,ROBBERY,477,201
478,01-20-2020 21:00,BURGLARY,478,571
479,01-20-2020 22:00,SHOPLIFTING,479,398
480,01-20-2020 23:00,BURGLARY,480,471
481,01-21-2020 00:00,SEXUAL ASSAULT,481,552
482,01-21-2020 01:00,HOMICIDE,482,115
483,01-21-2020 02:00,VEHICLE - STOLEN,483,296
484,01-21-2020 03:00,FRAUD,484,423
485,01-21-2020 04:00,TRAFFIC VIOLATION,485,189
486,01-21-2020 05:00,BURGLARY,486,380
487,01-21-2020 06:00,EXTORTION,487,167
488,01-21-2020 07:00,CYBERCRIME,488,242
489,01-21-2020 08:00,IDENTITY THEFT,489,366
490,01-21-2020 09:00,COUNTERFEITING,490,305
491,01-21-2020 10:00,SHOPLIFTING,491,510
492,01-21-2020 11:00,DRUG OFFENSE,492,528
493,01-21-2020 12:00,VANDALISM,493,283
494,01-21-2020 13:00,VEHICLE - STOLEN,494,316
495,01-21-2020 14:00,IDENTITY THEFT,495,288
496,01-21-2020 15:00,FIREARM OFFENSE,496,515
497,01-21-2020 16:00,VEHICLE - STOLEN,497,529
498,01-21-2020 17:00,BURGLARY,498,444
499,01-21-2020 18:00,BURGLARY,499,401
500,01-21-2020 19:00,ARSON,500,580
501,01-21-2020 20:00,SHOPLIFTING,501,408
502,01-21-2020 21:00,IDENTITY THEFT,502,485
503,01-21-2020 22:00,ASSAULT,503,541
504,01-21-2020 23:00,SHOPLIFTING,504,522
505,01-22-2020 00:00,CYBERCRIME,505,334
506,01-22-2020 01:00,HOMICIDE,506,464
507,01-22-2020 02:00,SEXUAL ASSAULT,507,402
508,01-22-2020 03:00,COUNTERFEITING,508,372
509,01-22-2020 04:00,ARSON,509,508
510,01-22-2020 05:00,DRUG OFFENSE,510,210
511,01-22-2020 06:00,KIDNAPPING,511,389
512,01-22-2020 07:00,PUBLIC INTOXICATION,512,374
513,01-22-2020 08:00,EXTORTION,513,597
514,01-22-2020 09:00,COUNTERFEITING,514,510
515,01-22-2020 10:00,COUNTERFEITING,515,404
516,01-22-2020 11:00,FRAUD,516,454
