FIR_Suspects_ID,FIR_ID,Suspect_ID,Reason_For_Suspicion,Date_Linked
252,2839,3227,Suspicious behaviour reported,2021-02-16
253,2839,5655,Witness testimony,2022-09-13
254,6240,20012,Seen near crime scene,2020-05-16
255,13746,23228,Prior criminal record,2020-10-11
256,1278,17097,Seen near crime scene,2023-03-02
257,1278,26959,Witness testimony,2020-03-26
258,23482,1508,Phone call records,2021-05-25
259,23482,27108,Prior criminal record,2022-05-06
260,30593,26150,Seen near crime scene,2020-04-08
261,6723,3698,Prior criminal record,2023-08-25
262,6723,20148,Prior criminal record,2021-05-02
263,20827,27315,Witness testimony,2021-01-02
264,15884,207,Witness testimony,2020-09-03
265,25301,23844,Seen near crime scene,2021-11-16
266,32818,3326,Prior criminal record,2023-02-08
267,32619,29011,Witness testimony,2022-03-08
268,30355,25409,Suspicious behaviour reported,2019-09-25
269,18217,28974,Witness testimony,2020-02-16
270,9370,4694,Witness testimony,2023-12-14
271,15153,794,Suspicious behaviour reported,2023-11-04
272,11304,5052,Prior criminal record,2020-09-02
273,27715,21810,Suspicious behaviour reported,2019-03-03
274,5444,16150,Witness testimony,2019-02-20
275,11961,19274,Witness testimony,2022-12-17
276,9665,22942,Prior criminal record,2020-07-09
277,9665,22045,Seen near crime scene,2020-06-14
278,14534,7234,Seen near crime scene,2019-05-29
279,8874,24004,Witness testimony,2020-12-04
280,8874,22884,Witness testimony,2022-01-13
281,33065,29943,Witness testimony,2021-07-10
282,33065,23105,CCTV footage,2022-10-10
283,30217,27304,Suspicious behaviour reported,2020-07-19
284,17055,7703,Suspicious behaviour reported,2020-07-29
285,23492,21089,Witness testimony,2020-07-31
286,23492,19953,CCTV footage,2022-12-12
287,33733,30034,Witness testimony,2023-01-02
288,2169,7455,Witness testimony,2020-06-13
289,25202,29255,Prior criminal record,2022-03-06
290,31835,5470,Suspicious behaviour reported,2019-12-07
291,31835,19406,Suspicious behaviour reported,2023-12-28
292,10378,2202,Suspicious behaviour reported,2023-02-19
293,17872,30100,Prior criminal record,2023-09-14
294,1641,6353,Phone call records,2022-03-04
295,33704,6727,CCTV footage,2022-11-30
296,20758,31515,CCTV footage,2022-06-07
297,20758,1847,Phone call records,2021-09-30
298,34666,10357,Phone call records,2022-11-04
299,18692,18124,Prior criminal record,2023-06-26
300,21974,31927,CCTV footage,2022-07-05
301,1499,26021,Seen near crime scene,2020-07-16
302,3448,167,CCTV footage,2019-12-13
303,26492,24623,Seen near crime scene,2021-05-16
304,309,16510,Suspicious behaviour reported,2021-12-27
305,309,12534,Prior criminal record,2021-01-23
306,14406,25438,Suspicious behaviour reported,2021-10-09
307,21039,19900,Seen near crime scene,2021-08-13
308,21039,28443,Phone call records,2022-07-14
309,9102,1228,CCTV footage,2019-05-01
310,17690,7449,Prior criminal record,2019-08-12
311,36405,5182,Prior criminal record,2020-02-25
312,11293,31215,CCTV footage,2021-07-29
313,6009,12334,Phone call records,2019-10-12
314,28012,12864,Prior criminal record,2021-03-06
315,31991,7643,Suspicious behaviour reported,2021-01-05
316,39590,14768,Witness testimony,2020-02-17
317,8294,20930,Suspicious behaviour reported,2022-02-21
318,8891,23924,Seen near crime scene,2021-11-06
319,8891,6865,Suspicious behaviour reported,2019-09-01
320,33928,17537,CCTV footage,2022-10-24
321,31915,31641,Phone call records,2020-10-25
322,31915,18805,Witness testimony,2021-03-28
323,4382,24690,Suspicious behaviour reported,2022-12-17
324,30279,28807,Suspicious behaviour reported,2022-11-10
325,23420,11964,Seen near crime scene,2020-04-18
326,23420,11749,Seen near crime scene,2022-08-28
327,3171,19973,Phone call records,2019-07-23
328,5261,18278,Witness testimony,2023-09-08
329,5261,4183,Prior criminal record,2021-04-23
330,5071,5138,Prior criminal record,2022-09-23
331,16947,24128,Suspicious behaviour reported,2019-05-08
332,32894,23301,CCTV footage,2019-06-18
333,32894,9099,Seen near crime scene,2022-11-23
334,9816,4295,Suspicious behaviour reported,2021-03-19
335,9816,31045,Seen near crime scene,2023-02-07
336,26384,11548,Prior criminal record,2022-07-21
337,26143,7846,Prior criminal record,2020-04-22
338,26143,12703,Witness testimony,2020-12-28
339,31035,22321,Seen near crime scene,2021-01-08
340,28791,20066,Phone call records,2022-05-04
341,505,16513,Prior criminal record,2020-09-25
342,1319,10100,Seen near crime scene,2023-01-05
343,36510,18644,Phone call records,2023-01-18
344,1838,16944,Witness testimony,2023-10-31
345,1838,12281,Phone call records,2023-05-29
346,2734,4178,Witness testimony,2021-12-20
347,36870,588,Prior criminal record,2021-06-18
348,36870,2197,Witness testimony,2022-10-24
349,26129,16076,Seen near crime scene,2020-07-08
350,26129,12015,CCTV footage,2019-01-18
351,7580,31891,Phone call records,2022-11-24
352,36935,27846,Prior criminal record,2022-06-02
353,30531,2496,Phone call records,2019-01-09
354,27298,17562,Witness testimony,2020-10-07
355,22635,20182,CCTV footage,2021-01-24
356,953,18194,CCTV footage,2022-06-28
357,11253,1256,Witness testimony,2020-06-19
358,33901,20549,Witness testimony,2023-11-16
359,27116,14888,Phone call records,2022-05-15
360,13432,5123,Phone call records,2022-07-21
361,21265,25493,Witness testimony,2019-02-25
362,21265,30435,CCTV footage,2020-11-27
363,9017,20550,Suspicious behaviour reported,2020-10-16
364,15797,148,Phone call records,2021-04-03
365,15797,5000,Prior criminal record,2022-01-19
366,34241,12598,Phone call records,2022-08-15
367,25183,18939,Prior criminal record,2020-12-25
368,27688,20268,Suspicious behaviour reported,2021-10-17
369,37545,8181,Witness testimony,2021-08-26
370,26017,24405,Phone call records,2022-05-26
371,20694,9013,Suspicious behaviour reported,2023-02-06
372,24804,12421,Witness testimony,2022-04-03
373,18383,10130,Witness testimony,2022-07-08
374,18383,22100,Witness testimony,2021-05-06
375,17911,8178,Witness testimony,2019-04-07
376,17911,8428,Witness testimony,2022-10-15
377,17721,19853,Phone call records,2022-10-26
378,7353,23408,CCTV footage,2023-07-25
379,7353,9188,Witness testimony,2023-10-11
380,17770,21624,CCTV footage,2022-12-04
381,17770,27076,Witness testimony,2020-06-13
382,18353,4959,Prior criminal record,2023-06-15
383,31675,26578,Prior criminal record,2019-10-31
384,8546,25207,Phone call records,2022-10-14
385,21195,12137,Witness testimony,2021-06-12
386,21195,26920,Seen near crime scene,2021-09-27
387,33801,2926,CCTV footage,2023-10-20
388,33801,28199,Suspicious behaviour reported,2020-06-08
389,20676,20758,CCTV footage,2021-01-03
390,20676,17189,Prior criminal record,2021-06-17
391,17604,18270,Seen near crime scene,2019-10-15
392,17604,14070,Phone call records,2020-06-19
393,17163,20180,Witness testimony,2021-11-10
394,17163,24242,Witness testimony,2020-05-25
395,14765,21026,Suspicious behaviour reported,2019-06-04
396,14312,25249,Prior criminal record,2020-06-04
397,25152,25359,Phone call records,2020-10-13
398,17798,23138,CCTV footage,2019-12-05
399,14438,8534,CCTV footage,2021-10-13
400,26260,29165,CCTV footage,2021-05-27
401,26260,7217,Seen near crime scene,2023-07-10
402,35419,3739,Witness testimony,2023-11-09
403,2886,25865,Seen near crime scene,2019-08-19
404,26904,22095,Phone call records,2021-12-08
405,30940,7327,Seen near crime scene,2023-07-30
406,1834,34,Suspicious behaviour reported,2021-12-24
407,28053,30767,CCTV footage,2023-09-21
408,11107,10477,Phone call records,2023-02-28
409,15533,22462,Witness testimony,2023-08-01
410,14878,15867,Suspicious behaviour reported,2022-03-25
411,27870,1211,CCTV footage,2021-05-25
412,28972,3485,Prior criminal record,2020-09-27
413,9172,8236,Suspicious behaviour reported,2019-02-24
414,369,29775,Suspicious behaviour reported,2021-06-30
415,369,4349,Phone call records,2021-04-07
416,19429,26201,Witness testimony,2022-12-11
417,21625,23131,Suspicious behaviour reported,2020-09-30
418,5060,8420,Seen near crime scene,2022-10-29
419,9615,28411,Seen near crime scene,2020-06-07
420,3700,1908,Seen near crime scene,2023-06-17
421,33277,18421,Phone call records,2019-11-10
422,311,7891,Seen near crime scene,2021-11-11
423,19778,24261,Prior criminal record,2023-06-26
424,36829,6983,Phone call records,2019-07-22
425,1226,2254,Phone call records,2023-11-07
426,38804,11816,Prior criminal record,2021-03-29
427,5051,3100,Prior criminal record,2022-08-02
428,27233,6046,Suspicious behaviour reported,2023-03-22
429,27233,30415,Seen near crime scene,2023-03-27
430,23855,25244,Prior criminal record,2020-05-16
431,23855,18215,Witness testimony,2019-11-30
432,3140,7698,Phone call records,2023-04-17
433,7125,24076,CCTV footage,2019-11-15
434,7125,7119,Suspicious behaviour reported,2021-03-05
435,27183,30158,Suspicious behaviour reported,2021-07-01
436,7537,10226,Suspicious behaviour reported,2019-12-29
437,23262,24954,Witness testimony,2019-03-05
438,31655,31295,Seen near crime scene,2019-09-23
439,31655,21387,CCTV footage,2021-12-19
440,26719,6704,CCTV footage,2022-05-03
441,26719,30400,Witness testimony,2020-12-23
442,12773,24673,Phone call records,2020-04-17
443,24481,16983,Seen near crime scene,2022-01-23
444,24481,16474,Phone call records,2023-02-23
445,32127,17991,Prior criminal record,2021-05-31
446,23972,10310,CCTV footage,2019-10-15
447,14260,14795,Prior criminal record,2021-06-19
448,11869,20751,Seen near crime scene,2021-10-30
449,20278,18131,Phone call records,2020-07-22
450,28784,5881,Seen near crime scene,2022-07-25
451,28784,4563,CCTV footage,2021-10-30
452,36568,23915,Suspicious behaviour reported,2020-07-16
453,36568,28557,Suspicious behaviour reported,2019-06-03
454,16616,144,Prior criminal record,2020-04-26
455,39835,23381,CCTV footage,2020-06-11
456,37453,1263,Seen near crime scene,2022-10-18
457,2628,25437,Suspicious behaviour reported,2019-05-28
458,39647,2801,Phone call records,2022-09-15
459,39647,30270,Witness testimony,2022-08-29
460,28669,19377,Phone call records,2020-04-17
461,20213,23054,Witness testimony,2021-12-05
462,6100,5227,Witness testimony,2019-11-30
463,6100,12156,Suspicious behaviour reported,2021-05-27
464,34165,3950,Witness testimony,2023-08-13
465,23684,13037,Witness testimony,2023-04-17
466,2486,9318,Seen near crime scene,2019-01-28
467,17300,6643,Phone call records,2022-09-16
468,27189,18596,Seen near crime scene,2020-02-26
469,37355,22362,Seen near crime scene,2020-02-05
470,4839,27977,Seen near crime scene,2020-11-30
471,32924,20341,Seen near crime scene,2021-05-21
472,37424,4274,CCTV footage,2021-07-21
473,36110,15160,CCTV footage,2022-03-09
474,32416,28137,Prior criminal record,2023-08-06
475,21690,8656,Suspicious behaviour reported,2021-04-10
476,34211,13881,Witness testimony,2022-09-26
477,19874,20534,Phone call records,2023-05-25
478,19874,12054,Prior criminal record,2020-07-08
479,36128,31179,CCTV footage,2021-01-14
480,40133,16715,CCTV footage,2023-05-28
481,5040,4008,Suspicious behaviour reported,2023-04-12
482,35934,11369,Phone call records,2022-04-02
483,26071,31280,Phone call records,2019-08-13
484,37339,32126,Phone call records,2021-03-23
485,28154,31128,Suspicious behaviour reported,2019-03-26
486,36589,18238,Prior criminal record,2023-08-27
487,36589,1763,Prior criminal record,2023-05-10
488,28332,556,CCTV footage,2020-04-02
489,29946,12723,Witness testimony,2021-10-28
490,29946,3762,Suspicious behaviour reported,2022-12-05
491,16496,2357,Seen near crime scene,2022-08-22
492,24982,19487,CCTV footage,2023-10-12
493,26947,26561,Suspicious behaviour reported,2023-12-12
494,17158,30191,Phone call records,2022-06-30
495,28845,22575,Phone call records,2021-08-02
496,29009,31534,CCTV footage,2020-12-19
497,30890,13477,Witness testimony,2022-04-25
498,23737,25353,Phone call records,2022-01-28
499,17271,13326,Suspicious behaviour reported,2020-01-12
500,34866,3335,Suspicious behaviour reported,2022-08-01
501,8328,23324,Seen near crime scene,2020-10-06
502,21364,24554,Prior criminal record,2019-09-13
503,4653,23876,Witness testimony,2023-12-06
504,23763,29417,Witness testimony,2023-11-05
505,23763,11570,CCTV footage,2023-02-28
506,8602,19769,Phone call records,2019-07-12
507,36440,2319,Seen near crime scene,2022-11-03
508,37716,5766,Witness testimony,2020-04-26
509,27555,28169,Phone call records,2022-08-16
510,24184,22123,Phone call records,2021-09-22
511,23931,8504,Phone call records,2019-01-24
512,24354,992,Seen near crime scene,2021-12-11
513,34936,25566,Prior criminal record,2023-06-28
514,17736,25832,CCTV footage,2020-11-30
515,29764,16896,Witness testimony,2021-02-06
516,11730,30477,Suspicious behaviour reported,2021-06-01
517,6782,25119,Prior criminal record,2023-06-14
518,6782,10121,Suspicious behaviour reported,2020-01-09
519,38839,2961,Prior criminal record,2019-10-05
520,3154,15039,Witness testimony,2020-10-12
521,14208,11846,Seen near crime scene,2023-10-02
522,25751,24466,Witness testimony,2021-10-18
523,6814,9060,CCTV footage,2021-09-05
524,7508,16373,Witness testimony,2020-06-01
525,39282,27628,Suspicious behaviour reported,2023-06-01
526,19171,19301,Suspicious behaviour reported,2020-06-02
527,8473,27527,Suspicious behaviour reported,2022-07-07
528,4221,21399,CCTV footage,2019-10-31
529,18700,14609,Witness testimony,2020-03-14
530,273,3490,Suspicious behaviour reported,2020-04-20
531,29332,7484,Witness testimony,2019-07-16
532,30786,22918,Prior criminal record,2022-10-14
533,30786,27100,Prior criminal record,2023-08-30
534,38425,8925,Suspicious behaviour reported,2019-07-19
535,25245,14101,Phone call records,2020-10-03
536,25245,20565,CCTV footage,2021-10-14
537,36161,24998,Seen near crime scene,2023-06-06
538,38901,21430,Suspicious behaviour reported,2020-11-11
539,22761,10943,Seen near crime scene,2019-08-31
540,22862,27102,Seen near crime scene,2022-08-07
541,8106,1367,Prior criminal record,2023-08-07
542,8106,7363,CCTV footage,2019-07-19
543,31412,20324,Seen near crime scene,2023-10-07
544,17451,28355,CCTV footage,2021-09-04
545,17451,8218,Seen near crime scene,2020-04-27
546,5831,25206,Phone call records,2023-04-24
547,34022,6472,Suspicious behaviour reported,2020-02-12
548,11092,19456,Seen near crime scene,2023-12-29
549,931,31413,CCTV footage,2022-02-18
550,101,6764,Witness testimony,2019-09-27
551,17863,12331,Suspicious behaviour reported,2020-07-13
552,38982,8078,CCTV footage,2021-03-25
553,20513,28638,Phone call records,2023-10-02
554,10377,31332,CCTV footage,2021-11-04
555,1047,20062,Suspicious behaviour reported,2019-05-03
556,1047,24814,Prior criminal record,2021-11-21
557,25443,24303,Witness testimony,2020-02-21
558,24019,18988,Prior criminal record,2020-02-25
559,15472,4522,Suspicious behaviour reported,2021-07-02
560,15472,5986,Phone call records,2022-07-03
561,21065,19361,Seen near crime scene,2019-01-29
562,12972,23446,Suspicious behaviour reported,2019-07-15
563,12972,31960,CCTV footage,2022-09-05
564,26176,1974,Witness testimony,2020-10-19
565,16989,148,CCTV footage,2022-01-05
566,8908,16078,CCTV footage,2019-04-20
567,16483,6851,Prior criminal record,2022-10-31
568,16483,15530,Seen near crime scene,2021-08-24
569,4408,1464,Prior criminal record,2021-03-04
570,10914,13077,Witness testimony,2022-02-09
571,9650,2132,Witness testimony,2022-07-13
572,9405,24656,Prior criminal record,2020-09-10
573,9405,14100,Seen near crime scene,2019-06-14
574,4181,14751,Seen near crime scene,2023-05-15
575,16988,16102,Suspicious behaviour reported,2021-03-08
576,12028,25372,Prior criminal record,2021-04-24
577,12028,28517,Seen near crime scene,2022-10-26
578,28755,8031,Suspicious behaviour reported,2022-12-26
579,3131,1503,Phone call records,2019-01-24
580,23920,12898,Suspicious behaviour reported,2022-03-04
581,37282,8209,Phone call records,2022-11-03
582,37282,28712,Prior criminal record,2019-11-10
583,19882,22673,CCTV footage,2021-01-25
584,14686,19659,CCTV footage,2022-04-15
585,14686,23955,Seen near crime scene,2023-11-01
586,34341,14295,Suspicious behaviour reported,2023-01-20
587,16110,17131,Prior criminal record,2021-08-13
588,10778,7084,Prior criminal record,2021-09-25
589,25682,31247,Prior criminal record,2022-09-18
590,2401,17417,Witness testimony,2020-04-21
591,19103,27302,Seen near crime scene,2019-07-04
592,19103,162,Phone call records,2021-11-03
593,32917,10851,Suspicious behaviour reported,2020-02-15
594,6223,31364,CCTV footage,2020-09-07
595,6223,15715,Seen near crime scene,2020-05-04
596,9545,27798,Suspicious behaviour reported,2022-09-10
597,23075,16814,Seen near crime scene,2022-05-16
598,21211,16979,Prior criminal record,2019-10-12
599,27231,11274,Seen near crime scene,2021-09-29
600,18906,10880,Witness testimony,2023-06-15
601,18906,30788,CCTV footage,2021-01-06
602,17611,15440,Phone call records,2023-05-31
603,28350,28204,CCTV footage,2019-11-26
