Crime_ID,Crime_Name,Description
229,ROBBERY,Violent Crime
197,ASSAULT,Violent Crime
305,ROBBERY,Violent Crime
150,TRAFFIC VIOLATION,Traffic Fatality
542,PUBLIC INTOXICATION,Other Crime
438,VANDALISM,Other Crime
345,ROBBERY,Violent Crime
108,HOMICIDE,Other Crime
219,VEHICLE - STOLEN,Violent Crime
510,CYBERCRIME,Other Crime
597,FRAUD,Other Crime
272,SEXUAL ASSAULT,Violent Crime
413,PUBLIC INTOXICATION,Other Crime
355,DRUG OFFENSE,Other Crime
523,IDENTITY THEFT,Violent Crime
486,SEXUAL ASSAULT,Violent Crime
455,DRUG OFFENSE,Other Crime
515,PUBLIC INTOXICATION,Other Crime
566,EXTORTION,Other Crime
419,ASSAULT,Violent Crime
250,VEHICLE - STOLEN,Violent Crime
417,ARSON,Fire Accident
464,ARSON,Fire Accident
500,ILLEGAL POSSESSION,Other Crime
183,COUNTERFEITING,Other Crime
270,HOMICIDE,Other Crime
184,FIREARM OFFENSE,Fire Accident
353,BURGLARY,Other Crime
235,VANDALISM,Other Crime
287,DRUG OFFENSE,Other Crime
257,ILLEGAL POSSESSION,Other Crime
537,TRAFFIC VIOLATION,Traffic Fatality
277,VEHICLE - STOLEN,Violent Crime
321,KIDNAPPING,Other Crime
432,VANDALISM,Other Crime
129,SEXUAL ASSAULT,Violent Crime
347,FRAUD,Other Crime
127,ASSAULT,Violent Crime
117,FIREARM OFFENSE,Fire Accident
339,IDENTITY THEFT,Violent Crime
111,ROBBERY,Violent Crime
331,ARSON,Fire Accident
295,IDENTITY THEFT,Violent Crime
309,HOMICIDE,Other Crime
465,ILLEGAL POSSESSION,Other Crime
406,VANDALISM,Other Crime
278,FRAUD,Other Crime
569,PUBLIC INTOXICATION,Other Crime
445,ASSAULT,Violent Crime
113,FIREARM OFFENSE,Fire Accident
165,PUBLIC INTOXICATION,Other Crime
514,CYBERCRIME,Other Crime
262,COUNTERFEITING,Other Crime
558,IDENTITY THEFT,Violent Crime
157,SHOPLIFTING,Other Crime
241,DRUG OFFENSE,Other Crime
311,ILLEGAL POSSESSION,Other Crime
248,IDENTITY THEFT,Violent Crime
238,DOMESTIC VIOLENCE,Violent Crime
109,DOMESTIC VIOLENCE,Violent Crime
448,COUNTERFEITING,Other Crime
588,HOMICIDE,Other Crime
236,VEHICLE - STOLEN,Violent Crime
589,SHOPLIFTING,Other Crime
492,ARSON,Fire Accident
234,VANDALISM,Other Crime
470,VANDALISM,Other Crime
518,FRAUD,Other Crime
245,SEXUAL ASSAULT,Violent Crime
144,ROBBERY,Violent Crime
134,FIREARM OFFENSE,Fire Accident
584,DOMESTIC VIOLENCE,Violent Crime
541,CYBERCRIME,Other Crime
133,SEXUAL ASSAULT,Violent Crime
422,SEXUAL ASSAULT,Violent Crime
151,FRAUD,Other Crime
415,EXTORTION,Other Crime
268,KIDNAPPING,Other Crime
381,IDENTITY THEFT,Violent Crime
249,PUBLIC INTOXICATION,Other Crime
389,DOMESTIC VIOLENCE,Violent Crime
562,DOMESTIC VIOLENCE,Violent Crime
316,EXTORTION,Other Crime
367,ARSON,Fire Accident
471,HOMICIDE,Other Crime
365,COUNTERFEITING,Other Crime
484,FRAUD,Other Crime
427,KIDNAPPING,Other Crime
340,SHOPLIFTING,Other Crime
246,VEHICLE - STOLEN,Violent Crime
376,COUNTERFEITING,Other Crime
439,FIREARM OFFENSE,Fire Accident
598,IDENTITY THEFT,Violent Crime
239,VEHICLE - STOLEN,Violent Crime
267,SEXUAL ASSAULT,Violent Crime
163,SHOPLIFTING,Other Crime
572,COUNTERFEITING,Other Crime
336,TRAFFIC VIOLATION,Traffic Fatality
218,VEHICLE - STOLEN,Violent Crime
276,KIDNAPPING,Other Crime
307,ROBBERY,Violent Crime
153,CYBERCRIME,Other Crime
190,VANDALISM,Other Crime
429,IDENTITY THEFT,Violent Crime
547,ARSON,Fire Accident
136,HOMICIDE,Other Crime
254,ASSAULT,Violent Crime
105,ARSON,Fire Accident
418,FIREARM OFFENSE,Fire Accident
466,FIREARM OFFENSE,Fire Accident
402,COUNTERFEITING,Other Crime
388,SEXUAL ASSAULT,Violent Crime
423,ROBBERY,Violent Crime
399,ILLEGAL POSSESSION,Other Crime
293,DOMESTIC VIOLENCE,Violent Crime
164,EXTORTION,Other Crime
182,SHOPLIFTING,Other Crime
362,TRAFFIC VIOLATION,Traffic Fatality
123,ILLEGAL POSSESSION,Other Crime
233,FIREARM OFFENSE,Fire Accident
581,PUBLIC INTOXICATION,Other Crime
230,EXTORTION,Other Crime
366,KIDNAPPING,Other Crime
145,COUNTERFEITING,Other Crime
142,IDENTITY THEFT,Violent Crime
261,SEXUAL ASSAULT,Violent Crime
152,COUNTERFEITING,Other Crime
430,IDENTITY THEFT,Violent Crime
203,ILLEGAL POSSESSION,Other Crime
508,KIDNAPPING,Other Crime
590,ROBBERY,Violent Crime
491,SHOPLIFTING,Other Crime
586,DRUG OFFENSE,Other Crime
350,TRAFFIC VIOLATION,Traffic Fatality
546,ASSAULT,Violent Crime
115,ASSAULT,Violent Crime
410,TRAFFIC VIOLATION,Traffic Fatality
217,KIDNAPPING,Other Crime
189,FIREARM OFFENSE,Fire Accident
180,FRAUD,Other Crime
215,BURGLARY,Other Crime
481,ARSON,Fire Accident
577,ASSAULT,Violent Crime
212,SHOPLIFTING,Other Crime
363,IDENTITY THEFT,Violent Crime
550,ILLEGAL POSSESSION,Other Crime
568,DOMESTIC VIOLENCE,Violent Crime
199,IDENTITY THEFT,Violent Crime
513,SEXUAL ASSAULT,Violent Crime
256,ROBBERY,Violent Crime
390,IDENTITY THEFT,Violent Crime
206,ARSON,Fire Accident
126,TRAFFIC VIOLATION,Traffic Fatality
431,FIREARM OFFENSE,Fire Accident
528,TRAFFIC VIOLATION,Traffic Fatality
494,DOMESTIC VIOLENCE,Violent Crime
395,DRUG OFFENSE,Other Crime
560,DRUG OFFENSE,Other Crime
361,BURGLARY,Other Crime
106,COUNTERFEITING,Other Crime
330,VANDALISM,Other Crime
446,FRAUD,Other Crime
503,TRAFFIC VIOLATION,Traffic Fatality
526,FRAUD,Other Crime
344,VANDALISM,Other Crime
506,BURGLARY,Other Crime
358,ARSON,Fire Accident
534,COUNTERFEITING,Other Crime
225,VANDALISM,Other Crime
574,COUNTERFEITING,Other Crime
477,SEXUAL ASSAULT,Violent Crime
167,PUBLIC INTOXICATION,Other Crime
101,ROBBERY,Violent Crime
356,KIDNAPPING,Other Crime
559,ASSAULT,Violent Crime
385,BURGLARY,Other Crime
343,TRAFFIC VIOLATION,Traffic Fatality
168,VEHICLE - STOLEN,Violent Crime
205,ILLEGAL POSSESSION,Other Crime
226,HOMICIDE,Other Crime
328,CYBERCRIME,Other Crime
224,DRUG OFFENSE,Other Crime
502,CYBERCRIME,Other Crime
227,ILLEGAL POSSESSION,Other Crime
511,ILLEGAL POSSESSION,Other Crime
392,KIDNAPPING,Other Crime
213,COUNTERFEITING,Other Crime
286,FIREARM OFFENSE,Fire Accident
552,DOMESTIC VIOLENCE,Violent Crime
103,BURGLARY,Other Crime
456,DRUG OFFENSE,Other Crime
349,IDENTITY THEFT,Violent Crime
587,IDENTITY THEFT,Violent Crime
102,SEXUAL ASSAULT,Violent Crime
159,IDENTITY THEFT,Violent Crime
210,COUNTERFEITING,Other Crime
454,TRAFFIC VIOLATION,Traffic Fatality
118,IDENTITY THEFT,Violent Crime
243,COUNTERFEITING,Other Crime
324,SHOPLIFTING,Other Crime
161,DOMESTIC VIOLENCE,Violent Crime
378,COUNTERFEITING,Other Crime
120,TRAFFIC VIOLATION,Traffic Fatality
567,DRUG OFFENSE,Other Crime
505,COUNTERFEITING,Other Crime
522,BURGLARY,Other Crime
371,VEHICLE - STOLEN,Violent Crime
532,SHOPLIFTING,Other Crime
237,DOMESTIC VIOLENCE,Violent Crime
539,ILLEGAL POSSESSION,Other Crime
176,CYBERCRIME,Other Crime
557,ILLEGAL POSSESSION,Other Crime
232,IDENTITY THEFT,Violent Crime
467,BURGLARY,Other Crime
368,FRAUD,Other Crime
298,BURGLARY,Other Crime
242,ILLEGAL POSSESSION,Other Crime
556,SEXUAL ASSAULT,Violent Crime
571,VEHICLE - STOLEN,Violent Crime
253,COUNTERFEITING,Other Crime
551,FIREARM OFFENSE,Fire Accident
192,CYBERCRIME,Other Crime
283,ARSON,Fire Accident
398,CYBERCRIME,Other Crime
284,COUNTERFEITING,Other Crime
281,FRAUD,Other Crime
441,COUNTERFEITING,Other Crime
208,FRAUD,Other Crime
354,DRUG OFFENSE,Other Crime
462,COUNTERFEITING,Other Crime
594,ILLEGAL POSSESSION,Other Crime
426,COUNTERFEITING,Other Crime
412,SEXUAL ASSAULT,Violent Crime
201,ROBBERY,Violent Crime
296,VEHICLE - STOLEN,Violent Crime
380,BURGLARY,Other Crime
288,IDENTITY THEFT,Violent Crime
529,VEHICLE - STOLEN,Violent Crime
444,BURGLARY,Other Crime
401,BURGLARY,Other Crime
580,ARSON,Fire Accident
408,SHOPLIFTING,Other Crime
485,IDENTITY THEFT,Violent Crime
334,CYBERCRIME,Other Crime
372,COUNTERFEITING,Other Crime
360,FIREARM OFFENSE,Fire Accident
520,FIREARM OFFENSE,Fire Accident
131,ARSON,Fire Accident
428,COUNTERFEITING,Other Crime
460,HOMICIDE,Other Crime
252,VANDALISM,Other Crime
137,COUNTERFEITING,Other Crime
407,VANDALISM,Other Crime
403,HOMICIDE,Other Crime
564,EXTORTION,Other Crime
265,SEXUAL ASSAULT,Violent Crime
273,ILLEGAL POSSESSION,Other Crime
186,CYBERCRIME,Other Crime
337,KIDNAPPING,Other Crime
195,PUBLIC INTOXICATION,Other Crime
181,BURGLARY,Other Crime
536,ILLEGAL POSSESSION,Other Crime
384,ASSAULT,Violent Crime
377,ROBBERY,Violent Crime
351,TRAFFIC VIOLATION,Traffic Fatality
290,ROBBERY,Violent Crime
585,PUBLIC INTOXICATION,Other Crime
458,VANDALISM,Other Crime
474,FIREARM OFFENSE,Fire Accident
461,ASSAULT,Violent Crime
264,ARSON,Fire Accident
386,VEHICLE - STOLEN,Violent Crime
333,IDENTITY THEFT,Violent Crime
299,SHOPLIFTING,Other Crime
320,IDENTITY THEFT,Violent Crime
452,CYBERCRIME,Other Crime
202,PUBLIC INTOXICATION,Other Crime
375,DOMESTIC VIOLENCE,Violent Crime
397,SHOPLIFTING,Other Crime
425,VEHICLE - STOLEN,Violent Crime
459,CYBERCRIME,Other Crime
313,CYBERCRIME,Other Crime
501,COUNTERFEITING,Other Crime
329,DRUG OFFENSE,Other Crime
400,EXTORTION,Other Crime
220,IDENTITY THEFT,Violent Crime
391,PUBLIC INTOXICATION,Other Crime
379,SHOPLIFTING,Other Crime
325,BURGLARY,Other Crime
382,PUBLIC INTOXICATION,Other Crime
221,IDENTITY THEFT,Violent Crime
303,SEXUAL ASSAULT,Violent Crime
447,VEHICLE - STOLEN,Violent Crime
544,ASSAULT,Violent Crime
174,PUBLIC INTOXICATION,Other Crime
538,VANDALISM,Other Crime
158,ILLEGAL POSSESSION,Other Crime
593,SEXUAL ASSAULT,Violent Crime
453,ROBBERY,Violent Crime
592,FRAUD,Other Crime
301,ROBBERY,Violent Crime
302,VANDALISM,Other Crime
149,VEHICLE - STOLEN,Violent Crime
599,SHOPLIFTING,Other Crime
530,FIREARM OFFENSE,Fire Accident
125,KIDNAPPING,Other Crime
433,BURGLARY,Other Crime
317,BURGLARY,Other Crime
414,VANDALISM,Other Crime
193,VEHICLE - STOLEN,Violent Crime
173,VEHICLE - STOLEN,Violent Crime
204,DOMESTIC VIOLENCE,Violent Crime
146,KIDNAPPING,Other Crime
107,ROBBERY,Violent Crime
411,IDENTITY THEFT,Violent Crime
383,IDENTITY THEFT,Violent Crime
258,TRAFFIC VIOLATION,Traffic Fatality
435,DOMESTIC VIOLENCE,Violent Crime
543,VANDALISM,Other Crime
155,FRAUD,Other Crime
405,ILLEGAL POSSESSION,Other Crime
479,ILLEGAL POSSESSION,Other Crime
493,ARSON,Fire Accident
525,FRAUD,Other Crime
263,SEXUAL ASSAULT,Violent Crime
160,FIREARM OFFENSE,Fire Accident
315,SHOPLIFTING,Other Crime
476,ARSON,Fire Accident
545,VEHICLE - STOLEN,Violent Crime
119,PUBLIC INTOXICATION,Other Crime
121,FRAUD,Other Crime
451,VANDALISM,Other Crime
318,DOMESTIC VIOLENCE,Violent Crime
475,SEXUAL ASSAULT,Violent Crime
370,ILLEGAL POSSESSION,Other Crime
255,VANDALISM,Other Crime
179,DRUG OFFENSE,Other Crime
304,VEHICLE - STOLEN,Violent Crime
499,ROBBERY,Violent Crime
207,ROBBERY,Violent Crime
535,TRAFFIC VIOLATION,Traffic Fatality
100,ARSON,Fire Accident
549,VEHICLE - STOLEN,Violent Crime
274,EXTORTION,Other Crime
124,FIREARM OFFENSE,Fire Accident
275,TRAFFIC VIOLATION,Traffic Fatality
132,SEXUAL ASSAULT,Violent Crime
294,ROBBERY,Violent Crime
310,BURGLARY,Other Crime
323,VANDALISM,Other Crime
483,FRAUD,Other Crime
516,SHOPLIFTING,Other Crime
348,CYBERCRIME,Other Crime
531,FRAUD,Other Crime
114,VANDALISM,Other Crime
504,DOMESTIC VIOLENCE,Violent Crime
488,FRAUD,Other Crime
565,COUNTERFEITING,Other Crime
156,FIREARM OFFENSE,Fire Accident
198,DRUG OFFENSE,Other Crime
582,SEXUAL ASSAULT,Violent Crime
393,SHOPLIFTING,Other Crime
440,DOMESTIC VIOLENCE,Violent Crime
231,COUNTERFEITING,Other Crime
521,KIDNAPPING,Other Crime
138,CYBERCRIME,Other Crime
463,FIREARM OFFENSE,Fire Accident
240,DRUG OFFENSE,Other Crime
130,ARSON,Fire Accident
140,FRAUD,Other Crime
141,ROBBERY,Violent Crime
424,IDENTITY THEFT,Violent Crime
175,TRAFFIC VIOLATION,Traffic Fatality
373,HOMICIDE,Other Crime
116,FRAUD,Other Crime
472,VEHICLE - STOLEN,Violent Crime
122,ARSON,Fire Accident
554,KIDNAPPING,Other Crime
147,ILLEGAL POSSESSION,Other Crime
457,EXTORTION,Other Crime
143,VEHICLE - STOLEN,Violent Crime
579,KIDNAPPING,Other Crime
327,VANDALISM,Other Crime
437,COUNTERFEITING,Other Crime
166,COUNTERFEITING,Other Crime
416,CYBERCRIME,Other Crime
112,FIREARM OFFENSE,Fire Accident
171,IDENTITY THEFT,Violent Crime
595,COUNTERFEITING,Other Crime
490,KIDNAPPING,Other Crime
216,FRAUD,Other Crime
346,ASSAULT,Violent Crime
496,ILLEGAL POSSESSION,Other Crime
194,COUNTERFEITING,Other Crime
533,FIREARM OFFENSE,Fire Accident
450,COUNTERFEITING,Other Crime
162,PUBLIC INTOXICATION,Other Crime
540,HOMICIDE,Other Crime
591,EXTORTION,Other Crime
468,KIDNAPPING,Other Crime
185,BURGLARY,Other Crime
578,PUBLIC INTOXICATION,Other Crime
335,TRAFFIC VIOLATION,Traffic Fatality
332,FRAUD,Other Crime
279,ROBBERY,Violent Crime
223,HOMICIDE,Other Crime
178,ASSAULT,Violent Crime
519,BURGLARY,Other Crime
228,HOMICIDE,Other Crime
314,VANDALISM,Other Crime
482,DRUG OFFENSE,Other Crime
291,ARSON,Fire Accident
214,ROBBERY,Violent Crime
209,ASSAULT,Violent Crime
326,FRAUD,Other Crime
478,DOMESTIC VIOLENCE,Violent Crime
308,VEHICLE - STOLEN,Violent Crime
553,ARSON,Fire Accident
394,ROBBERY,Violent Crime
104,ARSON,Fire Accident
200,IDENTITY THEFT,Violent Crime
177,ARSON,Fire Accident
135,HOMICIDE,Other Crime
364,VANDALISM,Other Crime
434,TRAFFIC VIOLATION,Traffic Fatality
443,CYBERCRIME,Other Crime
285,DRUG OFFENSE,Other Crime
473,ILLEGAL POSSESSION,Other Crime
