Log_ID,Table_Name,Operation,Changed_By,Changed_At,Old_Data,New_Data
31,FIR,UPDATE,1,2020-06-17 07:57:03,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
32,Evidence,INSERT,162,2021-05-20 10:47:38,{},"{""Status"": ""Under Investigation""}"
33,FIR_Accused,INSERT,132,2021-01-21 22:19:50,{},"{""Status"": ""Under Investigation""}"
34,Evidence,INSERT,90,2022-07-24 22:27:31,{},"{""Status"": ""Under Investigation""}"
35,FIR_Accused,INSERT,24,2023-11-08 20:17:49,{},"{""Status"": ""Closed""}"
36,Case_Status,UPDATE,105,2021-10-20 21:42:43,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
37,Case_Status,UPDATE,66,2021-05-02 09:12:07,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
38,Case_Status,UPDATE,244,2023-04-30 16:31:54,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
39,FIR,INSERT,240,2019-11-13 15:47:31,{},"{""Status"": ""Closed""}"
40,Accused,INSERT,41,2020-10-06 22:37:02,{},"{""Status"": ""Closed""}"
41,Case_Status,UPDATE,111,2022-04-01 06:52:39,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
42,FIR_Accused,INSERT,165,2019-06-03 02:01:10,{},"{""Status"": ""Closed""}"
43,FIR,UPDATE,60,2020-08-19 18:05:50,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
44,FIR,INSERT,193,2022-04-30 17:59:55,{},"{""Status"": ""Under Investigation""}"
45,FIR_Accused,INSERT,60,2020-01-03 12:36:38,{},"{""Status"": ""Closed""}"
46,FIR_Accused,INSERT,79,2023-02-18 10:37:21,{},"{""Status"": ""Under Investigation""}"
47,Case_Status,UPDATE,247,2019-06-20 18:38:37,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
48,Complaint,INSERT,204,2020-06-19 19:13:19,{},"{""Status"": ""Under Investigation""}"
49,FIR,INSERT,62,2019-05-01 16:18:27,{},"{""Status"": ""Under Investigation""}"
50,FIR,UPDATE,119,2022-03-04 15:44:44,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
51,Complaint,INSERT,102,2021-08-24 04:53:03,{},"{""Status"": ""Closed""}"
52,Complaint,INSERT,255,2019-06-23 21:43:49,{},"{""Status"": ""Closed""}"
53,Complaint,INSERT,234,2023-07-18 03:40:49,{},"{""Status"": ""Closed""}"
54,Case_Status,UPDATE,208,2022-01-03 08:39:24,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
55,FIR,UPDATE,1,2019-12-01 01:06:14,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
56,Suspects,INSERT,29,2019-12-17 13:18:54,{},"{""Status"": ""Under Investigation""}"
57,FIR,INSERT,139,2022-06-14 09:03:32,{},"{""Status"": ""Closed""}"
58,Evidence,INSERT,222,2023-01-01 20:52:12,{},"{""Status"": ""Closed""}"
59,Case_Status,UPDATE,192,2019-08-01 05:36:23,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
60,Complaint,INSERT,159,2020-07-28 13:14:03,{},"{""Status"": ""Under Investigation""}"
61,Case_Status,UPDATE,186,2020-08-18 12:30:04,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
62,FIR,UPDATE,92,2021-08-01 03:46:44,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
63,FIR,UPDATE,203,2021-11-06 02:58:50,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
64,FIR,UPDATE,208,2020-11-27 21:51:11,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
65,Accused,INSERT,184,2020-06-20 02:46:19,{},"{""Status"": ""Closed""}"
66,FIR_Accused,INSERT,230,2022-12-13 17:51:13,{},"{""Status"": ""Closed""}"
67,Evidence,INSERT,154,2020-04-24 02:35:13,{},"{""Status"": ""Closed""}"
68,Accused,INSERT,65,2022-12-05 15:36:18,{},"{""Status"": ""Closed""}"
69,Case_Status,UPDATE,192,2022-08-03 11:55:47,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
70,FIR_Accused,INSERT,183,2019-07-28 16:59:28,{},"{""Status"": ""Under Investigation""}"
71,Complaint,INSERT,122,2023-02-18 11:01:46,{},"{""Status"": ""Under Investigation""}"
72,Suspects,INSERT,244,2021-02-02 11:04:22,{},"{""Status"": ""Closed""}"
73,Suspects,INSERT,91,2019-02-06 11:05:07,{},"{""Status"": ""Under Investigation""}"
74,FIR,INSERT,159,2020-04-11 05:23:48,{},"{""Status"": ""Closed""}"
75,FIR,INSERT,171,2019-01-08 05:32:44,{},"{""Status"": ""Under Investigation""}"
76,Complaint,INSERT,268,2022-07-26 01:27:10,{},"{""Status"": ""Closed""}"
77,Complaint,INSERT,190,2023-04-10 20:28:57,{},"{""Status"": ""Under Investigation""}"
78,Suspects,INSERT,251,2020-12-26 04:22:59,{},"{""Status"": ""Under Investigation""}"
79,Evidence,INSERT,111,2021-01-26 18:20:31,{},"{""Status"": ""Closed""}"
80,Accused,INSERT,118,2021-08-17 04:07:54,{},"{""Status"": ""Closed""}"
81,Suspects,INSERT,189,2019-05-27 03:20:35,{},"{""Status"": ""Closed""}"
82,Accused,INSERT,149,2023-02-26 00:14:54,{},"{""Status"": ""Under Investigation""}"
83,Evidence,INSERT,65,2023-11-28 02:34:54,{},"{""Status"": ""Under Investigation""}"
84,FIR_Accused,INSERT,242,2021-07-19 09:58:46,{},"{""Status"": ""Closed""}"
85,Suspects,INSERT,270,2019-02-13 07:45:10,{},"{""Status"": ""Closed""}"
86,Complaint,INSERT,146,2019-11-27 18:45:46,{},"{""Status"": ""Closed""}"
87,FIR,INSERT,54,2023-10-22 20:17:18,{},"{""Status"": ""Closed""}"
88,Evidence,INSERT,30,2020-10-20 08:52:26,{},"{""Status"": ""Closed""}"
89,Evidence,INSERT,22,2023-01-31 08:14:02,{},"{""Status"": ""Closed""}"
90,FIR,UPDATE,164,2021-08-21 14:30:28,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
91,Accused,INSERT,178,2023-08-26 00:26:54,{},"{""Status"": ""Under Investigation""}"
92,Case_Status,UPDATE,137,2022-05-06 12:11:34,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
93,FIR,INSERT,19,2022-11-16 04:41:53,{},"{""Status"": ""Under Investigation""}"
94,Evidence,INSERT,225,2019-06-24 09:17:52,{},"{""Status"": ""Closed""}"
95,FIR,UPDATE,46,2023-06-14 05:17:22,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
96,FIR_Accused,INSERT,107,2023-05-25 08:27:12,{},"{""Status"": ""Under Investigation""}"
97,Suspects,INSERT,140,2023-02-28 11:31:03,{},"{""Status"": ""Closed""}"
98,Case_Status,UPDATE,74,2022-02-18 14:39:18,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
99,FIR_Accused,INSERT,163,2022-07-13 03:00:04,{},"{""Status"": ""Closed""}"
100,Suspects,INSERT,150,2019-01-05 11:07:04,{},"{""Status"": ""Closed""}"
101,Suspects,INSERT,99,2020-11-15 12:47:51,{},"{""Status"": ""Closed""}"
102,Suspects,INSERT,91,2020-10-17 16:20:53,{},"{""Status"": ""Closed""}"
103,Case_Status,UPDATE,214,2023-02-26 15:47:02,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
104,FIR,UPDATE,77,2020-04-21 16:20:25,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
105,Complaint,INSERT,27,2023-12-30 02:52:19,{},"{""Status"": ""Closed""}"
106,Complaint,INSERT,262,2021-05-27 17:07:54,{},"{""Status"": ""Closed""}"
107,Suspects,INSERT,253,2019-10-19 20:53:29,{},"{""Status"": ""Closed""}"
108,FIR_Accused,INSERT,19,2020-05-08 00:49:18,{},"{""Status"": ""Under Investigation""}"
109,FIR,UPDATE,126,2023-01-02 06:10:03,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
110,Suspects,INSERT,216,2022-11-13 16:18:53,{},"{""Status"": ""Under Investigation""}"
111,FIR,UPDATE,81,2021-11-14 04:24:20,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
112,FIR_Accused,INSERT,76,2021-11-21 16:03:03,{},"{""Status"": ""Closed""}"
113,FIR,UPDATE,153,2020-09-21 03:01:03,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
114,FIR,UPDATE,192,2023-07-17 12:25:24,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
115,Suspects,INSERT,96,2023-04-29 17:04:19,{},"{""Status"": ""Under Investigation""}"
116,FIR,INSERT,250,2022-12-10 21:08:51,{},"{""Status"": ""Under Investigation""}"
117,Suspects,INSERT,258,2021-12-07 04:14:14,{},"{""Status"": ""Closed""}"
118,FIR_Accused,INSERT,67,2023-12-28 07:28:16,{},"{""Status"": ""Under Investigation""}"
119,Evidence,INSERT,78,2019-11-29 06:58:49,{},"{""Status"": ""Under Investigation""}"
120,Suspects,INSERT,268,2023-01-10 12:05:57,{},"{""Status"": ""Closed""}"
121,FIR,INSERT,228,2023-11-29 01:48:46,{},"{""Status"": ""Under Investigation""}"
122,Accused,INSERT,228,2022-09-04 13:24:19,{},"{""Status"": ""Closed""}"
123,FIR_Accused,INSERT,267,2019-09-13 02:35:56,{},"{""Status"": ""Under Investigation""}"
124,Case_Status,UPDATE,215,2019-10-20 12:15:00,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
125,Suspects,INSERT,24,2023-03-19 12:48:43,{},"{""Status"": ""Under Investigation""}"
126,Suspects,INSERT,241,2022-10-20 00:09:57,{},"{""Status"": ""Under Investigation""}"
127,Case_Status,UPDATE,81,2019-04-08 08:48:59,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
128,Complaint,INSERT,174,2023-01-13 10:36:43,{},"{""Status"": ""Under Investigation""}"
129,Evidence,INSERT,3,2021-11-04 08:12:32,{},"{""Status"": ""Closed""}"
130,Case_Status,UPDATE,144,2019-02-10 06:16:45,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
131,Accused,INSERT,29,2019-09-10 05:16:35,{},"{""Status"": ""Under Investigation""}"
132,FIR_Accused,INSERT,83,2020-05-27 16:01:21,{},"{""Status"": ""Closed""}"
133,Accused,INSERT,259,2022-02-07 18:47:52,{},"{""Status"": ""Closed""}"
134,Complaint,INSERT,233,2021-02-16 12:45:49,{},"{""Status"": ""Under Investigation""}"
135,FIR_Accused,INSERT,125,2020-10-16 09:36:55,{},"{""Status"": ""Under Investigation""}"
136,FIR,INSERT,80,2019-10-15 05:55:39,{},"{""Status"": ""Closed""}"
137,FIR_Accused,INSERT,153,2021-06-26 04:02:50,{},"{""Status"": ""Closed""}"
138,Complaint,INSERT,263,2019-01-26 23:12:06,{},"{""Status"": ""Under Investigation""}"
139,FIR_Accused,INSERT,136,2019-04-05 11:09:02,{},"{""Status"": ""Under Investigation""}"
140,Case_Status,UPDATE,256,2023-03-27 01:34:43,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
141,FIR,UPDATE,246,2022-01-29 01:58:29,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
142,FIR,UPDATE,135,2023-12-07 15:00:45,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
143,Evidence,INSERT,17,2020-12-29 05:43:31,{},"{""Status"": ""Closed""}"
144,Case_Status,UPDATE,13,2021-02-10 09:42:27,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
145,Complaint,INSERT,32,2020-06-05 07:35:38,{},"{""Status"": ""Closed""}"
146,FIR,INSERT,205,2021-12-06 01:56:39,{},"{""Status"": ""Under Investigation""}"
147,Evidence,INSERT,272,2022-03-15 17:02:59,{},"{""Status"": ""Under Investigation""}"
148,Complaint,INSERT,25,2021-08-19 05:13:52,{},"{""Status"": ""Under Investigation""}"
149,FIR,INSERT,192,2023-05-20 09:17:00,{},"{""Status"": ""Closed""}"
150,FIR_Accused,INSERT,194,2023-07-10 17:40:51,{},"{""Status"": ""Under Investigation""}"
151,FIR,INSERT,106,2021-03-21 23:53:35,{},"{""Status"": ""Under Investigation""}"
152,Complaint,INSERT,26,2022-10-14 02:06:51,{},"{""Status"": ""Under Investigation""}"
153,Evidence,INSERT,96,2023-06-30 07:31:23,{},"{""Status"": ""Under Investigation""}"
154,Complaint,INSERT,156,2019-08-04 23:29:52,{},"{""Status"": ""Closed""}"
155,Accused,INSERT,5,2023-10-28 18:56:34,{},"{""Status"": ""Under Investigation""}"
156,Suspects,INSERT,80,2021-01-26 10:58:44,{},"{""Status"": ""Under Investigation""}"
157,FIR_Accused,INSERT,269,2022-01-22 18:41:32,{},"{""Status"": ""Closed""}"
158,FIR,UPDATE,220,2020-09-02 22:48:40,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
159,FIR_Accused,INSERT,57,2023-12-12 11:44:20,{},"{""Status"": ""Closed""}"
160,Evidence,INSERT,132,2022-09-03 00:15:19,{},"{""Status"": ""Closed""}"
161,Case_Status,UPDATE,178,2020-01-03 01:39:42,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
162,FIR,UPDATE,243,2023-07-23 18:11:57,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
163,Evidence,INSERT,209,2023-09-29 00:06:52,{},"{""Status"": ""Under Investigation""}"
164,Suspects,INSERT,163,2019-07-01 14:02:00,{},"{""Status"": ""Closed""}"
165,FIR,UPDATE,220,2020-10-13 03:00:29,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
166,Accused,INSERT,264,2021-09-10 04:16:59,{},"{""Status"": ""Under Investigation""}"
167,Case_Status,UPDATE,114,2020-11-29 01:32:18,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
168,Accused,INSERT,157,2019-12-02 17:40:46,{},"{""Status"": ""Under Investigation""}"
169,FIR_Accused,INSERT,258,2023-11-17 03:32:38,{},"{""Status"": ""Closed""}"
170,Suspects,INSERT,128,2020-12-04 06:33:52,{},"{""Status"": ""Under Investigation""}"
171,Suspects,INSERT,141,2023-07-03 06:44:14,{},"{""Status"": ""Under Investigation""}"
172,Case_Status,UPDATE,5,2019-12-08 17:07:25,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
173,Evidence,INSERT,9,2021-06-08 22:23:33,{},"{""Status"": ""Closed""}"
174,FIR,INSERT,240,2019-11-11 21:59:15,{},"{""Status"": ""Closed""}"
175,Complaint,INSERT,232,2020-08-18 15:24:32,{},"{""Status"": ""Closed""}"
176,Complaint,INSERT,3,2022-07-29 19:56:10,{},"{""Status"": ""Under Investigation""}"
177,Suspects,INSERT,222,2021-11-20 00:28:47,{},"{""Status"": ""Under Investigation""}"
178,Case_Status,UPDATE,242,2022-04-06 22:13:59,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
179,FIR,UPDATE,186,2023-09-16 10:44:34,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
180,Accused,INSERT,111,2023-12-08 05:08:27,{},"{""Status"": ""Under Investigation""}"
181,Case_Status,UPDATE,2,2019-03-22 18:29:44,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
182,Evidence,INSERT,183,2023-01-27 16:00:50,{},"{""Status"": ""Under Investigation""}"
183,FIR,UPDATE,67,2022-01-06 01:27:31,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
184,Evidence,INSERT,196,2021-10-24 19:33:14,{},"{""Status"": ""Closed""}"
185,FIR,INSERT,82,2022-04-30 13:45:02,{},"{""Status"": ""Closed""}"
186,Accused,INSERT,130,2019-01-29 21:56:30,{},"{""Status"": ""Under Investigation""}"
187,FIR,INSERT,69,2021-05-20 12:39:06,{},"{""Status"": ""Closed""}"
188,FIR,UPDATE,234,2021-02-20 04:03:50,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
189,FIR_Accused,INSERT,269,2022-10-27 13:57:04,{},"{""Status"": ""Closed""}"
190,Evidence,INSERT,198,2022-05-26 12:09:08,{},"{""Status"": ""Closed""}"
191,Case_Status,UPDATE,99,2023-07-08 07:38:23,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
192,Case_Status,UPDATE,199,2021-11-07 13:53:25,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
193,FIR,UPDATE,170,2021-07-22 00:34:27,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
194,FIR_Accused,INSERT,155,2021-02-05 06:59:58,{},"{""Status"": ""Under Investigation""}"
195,Accused,INSERT,158,2023-11-09 07:48:28,{},"{""Status"": ""Under Investigation""}"
196,Evidence,INSERT,222,2023-06-22 06:44:18,{},"{""Status"": ""Under Investigation""}"
197,Suspects,INSERT,3,2022-06-27 08:52:00,{},"{""Status"": ""Under Investigation""}"
198,Case_Status,UPDATE,198,2023-03-26 23:26:54,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
199,FIR,UPDATE,214,2023-12-22 08:21:18,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
200,Complaint,INSERT,13,2021-05-21 00:34:53,{},"{""Status"": ""Under Investigation""}"
201,Complaint,INSERT,27,2022-04-11 06:26:06,{},"{""Status"": ""Under Investigation""}"
202,Evidence,INSERT,190,2020-02-26 20:30:45,{},"{""Status"": ""Closed""}"
203,Suspects,INSERT,158,2020-06-03 05:57:19,{},"{""Status"": ""Under Investigation""}"
204,FIR,INSERT,167,2023-07-21 21:58:51,{},"{""Status"": ""Closed""}"
205,Accused,INSERT,179,2020-02-25 04:32:42,{},"{""Status"": ""Closed""}"
206,Evidence,INSERT,217,2021-03-30 11:43:48,{},"{""Status"": ""Closed""}"
207,Evidence,INSERT,163,2022-10-24 16:48:15,{},"{""Status"": ""Under Investigation""}"
208,Evidence,INSERT,202,2019-03-07 16:29:39,{},"{""Status"": ""Under Investigation""}"
209,FIR,UPDATE,183,2023-02-17 03:16:31,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
210,FIR_Accused,INSERT,239,2022-04-02 01:02:31,{},"{""Status"": ""Closed""}"
211,Suspects,INSERT,52,2020-11-08 21:34:22,{},"{""Status"": ""Under Investigation""}"
212,Suspects,INSERT,81,2020-11-08 06:56:33,{},"{""Status"": ""Closed""}"
213,Case_Status,UPDATE,122,2020-06-23 01:10:33,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
214,FIR,INSERT,3,2022-05-04 19:53:11,{},"{""Status"": ""Closed""}"
215,Accused,INSERT,115,2020-05-15 18:53:18,{},"{""Status"": ""Closed""}"
216,Evidence,INSERT,43,2021-06-07 00:59:39,{},"{""Status"": ""Closed""}"
217,Suspects,INSERT,48,2020-09-20 04:22:37,{},"{""Status"": ""Under Investigation""}"
218,Complaint,INSERT,136,2022-08-11 23:39:00,{},"{""Status"": ""Closed""}"
219,Case_Status,UPDATE,113,2022-08-08 22:34:39,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
220,FIR_Accused,INSERT,212,2022-03-21 10:05:31,{},"{""Status"": ""Under Investigation""}"
221,FIR_Accused,INSERT,174,2021-09-16 10:16:44,{},"{""Status"": ""Closed""}"
222,FIR,INSERT,129,2022-04-15 17:34:35,{},"{""Status"": ""Closed""}"
223,Complaint,INSERT,76,2021-10-25 06:59:55,{},"{""Status"": ""Under Investigation""}"
224,Complaint,INSERT,114,2020-01-05 11:28:23,{},"{""Status"": ""Under Investigation""}"
225,Complaint,INSERT,175,2020-05-12 14:18:52,{},"{""Status"": ""Under Investigation""}"
226,Accused,INSERT,211,2023-06-16 11:40:13,{},"{""Status"": ""Under Investigation""}"
227,Evidence,INSERT,206,2019-06-17 16:52:03,{},"{""Status"": ""Closed""}"
228,Suspects,INSERT,59,2021-10-03 09:49:51,{},"{""Status"": ""Under Investigation""}"
229,FIR_Accused,INSERT,243,2021-11-06 18:56:15,{},"{""Status"": ""Closed""}"
230,Case_Status,UPDATE,260,2022-06-04 00:08:01,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
231,FIR_Accused,INSERT,158,2022-01-23 01:36:30,{},"{""Status"": ""Closed""}"
232,Accused,INSERT,233,2023-02-17 19:44:55,{},"{""Status"": ""Under Investigation""}"
233,FIR_Accused,INSERT,153,2019-06-15 07:26:53,{},"{""Status"": ""Under Investigation""}"
234,FIR,UPDATE,262,2022-08-07 18:27:39,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
235,Accused,INSERT,274,2019-06-13 01:12:52,{},"{""Status"": ""Under Investigation""}"
236,Accused,INSERT,23,2022-09-25 21:49:21,{},"{""Status"": ""Closed""}"
237,FIR,UPDATE,14,2021-07-29 07:46:12,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
238,Accused,INSERT,88,2019-03-25 00:39:24,{},"{""Status"": ""Under Investigation""}"
239,Evidence,INSERT,93,2019-07-07 04:36:37,{},"{""Status"": ""Under Investigation""}"
240,FIR,INSERT,178,2020-08-23 07:40:47,{},"{""Status"": ""Under Investigation""}"
241,Evidence,INSERT,83,2019-07-14 07:20:33,{},"{""Status"": ""Under Investigation""}"
242,Evidence,INSERT,226,2021-06-18 17:42:13,{},"{""Status"": ""Under Investigation""}"
243,Complaint,INSERT,28,2019-08-27 14:54:40,{},"{""Status"": ""Under Investigation""}"
244,FIR_Accused,INSERT,115,2021-02-22 18:58:51,{},"{""Status"": ""Under Investigation""}"
245,FIR,INSERT,250,2019-11-22 08:28:51,{},"{""Status"": ""Closed""}"
246,FIR_Accused,INSERT,123,2019-03-22 04:00:20,{},"{""Status"": ""Under Investigation""}"
247,FIR_Accused,INSERT,105,2019-06-26 19:36:29,{},"{""Status"": ""Under Investigation""}"
248,Complaint,INSERT,36,2020-05-16 20:23:53,{},"{""Status"": ""Under Investigation""}"
249,FIR,INSERT,11,2023-05-22 20:03:13,{},"{""Status"": ""Under Investigation""}"
250,FIR,UPDATE,125,2022-10-13 03:28:39,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
251,Complaint,INSERT,249,2019-12-29 09:24:51,{},"{""Status"": ""Closed""}"
252,Case_Status,UPDATE,71,2022-12-30 21:21:56,"{""Status"": ""Open""}","{""Status"": ""Under Investigation""}"
253,Evidence,INSERT,133,2022-06-27 14:35:41,{},"{""Status"": ""Closed""}"
254,Accused,INSERT,16,2021-03-30 16:23:33,{},"{""Status"": ""Closed""}"
255,Evidence,INSERT,52,2021-06-19 19:24:18,{},"{""Status"": ""Closed""}"
256,Complaint,INSERT,99,2020-10-25 00:08:01,{},"{""Status"": ""Under Investigation""}"
257,Complaint,INSERT,123,2023-03-20 11:17:57,{},"{""Status"": ""Under Investigation""}"
258,FIR_Accused,INSERT,180,2020-06-26 18:25:45,{},"{""Status"": ""Closed""}"
259,Complaint,INSERT,239,2019-03-23 04:00:25,{},"{""Status"": ""Closed""}"
260,FIR,UPDATE,111,2023-11-02 03:38:47,"{""Status"": ""Under Investigation""}","{""Status"": ""Under Investigation""}"
261,Case_Status,UPDATE,270,2020-08-03 16:41:50,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
262,Case_Status,UPDATE,171,2023-05-22 17:04:50,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
263,Evidence,INSERT,31,2019-05-29 04:22:32,{},"{""Status"": ""Under Investigation""}"
264,Complaint,INSERT,211,2019-10-03 01:03:21,{},"{""Status"": ""Under Investigation""}"
265,FIR,UPDATE,91,2021-12-23 01:59:30,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
266,FIR,UPDATE,132,2019-04-15 08:21:32,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
267,Evidence,INSERT,125,2020-07-14 20:56:03,{},"{""Status"": ""Under Investigation""}"
268,Complaint,INSERT,134,2022-03-13 13:23:24,{},"{""Status"": ""Under Investigation""}"
269,Case_Status,UPDATE,82,2021-09-20 15:48:10,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
270,FIR,INSERT,32,2019-08-07 04:28:46,{},"{""Status"": ""Closed""}"
271,Suspects,INSERT,106,2023-03-27 10:44:31,{},"{""Status"": ""Under Investigation""}"
272,FIR,UPDATE,147,2023-08-02 06:04:52,"{""Status"": ""Under Investigation""}","{""Status"": ""Closed""}"
273,Evidence,INSERT,59,2022-07-28 16:27:31,{},"{""Status"": ""Closed""}"
274,Case_Status,UPDATE,72,2021-09-01 12:04:58,"{""Status"": ""Open""}","{""Status"": ""Closed""}"
275,Suspects,INSERT,74,2021-03-12 01:35:59,{},"{""Status"": ""Closed""}"
276,Complaint,INSERT,175,2023-07-15 18:55:42,{},"{""Status"": ""Under Investigation""}"
